"","site","date","YYYYMMDD","trans_type","trans_bin","trans_m","pit_bin","sed1_type","sed2_type","sed1_no","sed2_no","field_collector"
"117","2017_L_01","7/8/2013",20170709,"Outside",7,70,0,"Sand","Gravel",4,7,"Tiff Stephens"
"118","2017_L_01","7/8/2013",20170709,"Outside",8,80,0,"Sand","Gravel",4,7,"Tiff Stephens"
"119","2017_L_01","7/8/2013",20170709,"Outside",9,90,0,"Sand","Sand",4,4,"Tiff Stephens"
"120","2017_L_01","7/8/2013",20170709,"Outside",10,100,0,"Sand","Sand",4,4,"Tiff Stephens"
"121","2017_L_02","7/14/2013",20170715,"Edge",1,10,0,"Sand","Gravel",4,7,"Tiff Stephens, Wendel Raymond"
"122","2017_L_02","7/14/2013",20170715,"Edge",2,20,0,"Gravel","Sand",7,4,"Tiff Stephens, Wendel Raymond"
"123","2017_L_02","7/14/2013",20170715,"Edge",3,30,0,"Sand","Gravel",4,7,"Tiff Stephens, Wendel Raymond"
"124","2017_L_02","7/14/2013",20170715,"Edge",4,40,0,"Sand","Gravel",4,7,"Tiff Stephens, Wendel Raymond"
"125","2017_L_02","7/14/2013",20170715,"Edge",5,50,0,"Sand","Pebble",4,6,"Tiff Stephens, Wendel Raymond"
"126","2017_L_02","7/14/2013",20170715,"Edge",6,60,0,"Sand","Pebble",4,6,"Tiff Stephens, Wendel Raymond"
"127","2017_L_02","7/14/2013",20170715,"Edge",7,70,0,"Sand","Pebble",4,6,"Tiff Stephens, Wendel Raymond"
"128","2017_L_02","7/14/2013",20170715,"Edge",8,80,0,"Sand","Pebble",4,6,"Tiff Stephens, Wendel Raymond"
"129","2017_L_02","7/14/2013",20170715,"Edge",9,90,0,"Pebble","Sand",6,4,"Tiff Stephens, Wendel Raymond"
"130","2017_L_02","7/14/2013",20170715,"Edge",10,100,0,"Sand","Pebble",4,6,"Tiff Stephens, Wendel Raymond"
"131","2017_L_02","7/14/2013",20170715,"Inside",1,10,0,"Sand","Gravel",4,7,"Tiff Stephens, Wendel Raymond"
"132","2017_L_02","7/14/2013",20170715,"Inside",2,20,0,"Sand","Sand",4,4,"Tiff Stephens, Wendel Raymond"
"133","2017_L_02","7/14/2013",20170715,"Inside",3,30,0,"Sand","Gravel",4,7,"Tiff Stephens, Wendel Raymond"
"134","2017_L_02","7/14/2013",20170715,"Inside",4,40,0,"Sand","Gravel",4,7,"Tiff Stephens, Wendel Raymond"
"135","2017_L_02","7/14/2013",20170715,"Inside",5,50,0,"Sand","Gravel",4,7,"Tiff Stephens, Wendel Raymond"
"136","2017_L_02","7/14/2013",20170715,"Inside",6,60,0,"Sand","Pebble",4,6,"Tiff Stephens, Wendel Raymond"
"137","2017_L_02","7/14/2013",20170715,"Inside",7,70,1,"Sand","Pebble",4,6,"Tiff Stephens, Wendel Raymond"
"138","2017_L_02","7/14/2013",20170715,"Inside",8,80,0,"Sand","Sand",4,4,"Tiff Stephens, Wendel Raymond"
"139","2017_L_02","7/14/2013",20170715,"Inside",9,90,0,"Sand","Pebble",4,6,"Tiff Stephens, Wendel Raymond"
"140","2017_L_02","7/14/2013",20170715,"Inside",10,100,0,"Sand","Sand",4,4,"Tiff Stephens, Wendel Raymond"
"141","2017_L_02","7/14/2013",20170715,"Outside",1,10,0,"Gravel","Sand",7,4,"Tiff Stephens, Wendel Raymond"
"142","2017_L_02","7/14/2013",20170715,"Outside",2,20,0,"Gravel","Sand",7,4,"Tiff Stephens, Wendel Raymond"
"143","2017_L_02","7/14/2013",20170715,"Outside",3,30,0,"Sand","Gravel",4,7,"Tiff Stephens, Wendel Raymond"
"144","2017_L_02","7/14/2013",20170715,"Outside",4,40,1,"Gravel","Sand",7,4,"Tiff Stephens, Wendel Raymond"
"145","2017_L_02","7/14/2013",20170715,"Outside",5,50,0,"Sand","Pebble",4,6,"Tiff Stephens, Wendel Raymond"
"146","2017_L_02","7/14/2013",20170715,"Outside",6,60,0,"Sand","Pebble",4,6,"Tiff Stephens, Wendel Raymond"
"147","2017_L_02","7/14/2013",20170715,"Outside",7,70,0,"Gravel","Sand",7,4,"Tiff Stephens, Wendel Raymond"
"148","2017_L_02","7/14/2013",20170715,"Outside",8,80,0,"Sand","Gravel",4,7,"Tiff Stephens, Wendel Raymond"
"149","2017_L_02","7/14/2013",20170715,"Outside",9,90,0,"Sand","Pebble",4,6,"Tiff Stephens, Wendel Raymond"
"150","2017_L_02","7/14/2013",20170715,"Outside",10,100,0,"Sand","Pebble",4,6,"Tiff Stephens, Wendel Raymond"
"151","2017_L_03","7/23/2013",20170724,"Edge",1,10,0,"Sandy mud","Sandy mud",2,2,"Ashley Bolwerk"
"152","2017_L_03","7/23/2013",20170724,"Edge",2,20,0,"Sandy mud","Sandy mud",2,2,"Ashley Bolwerk"
"153","2017_L_03","7/23/2013",20170724,"Edge",3,30,0,"Sandy mud","Mud",2,1,"Ashley Bolwerk"
"154","2017_L_03","7/23/2013",20170724,"Edge",4,40,0,"Sandy mud","Mud",2,1,"Ashley Bolwerk"
"155","2017_L_03","7/23/2013",20170724,"Edge",5,50,0,"Mud","Sandy mud",1,2,"Ashley Bolwerk"
"156","2017_L_03","7/23/2013",20170724,"Edge",6,60,0,"Sand","Pebble",4,6,"Ashley Bolwerk"
"157","2017_L_03","7/23/2013",20170724,"Edge",7,70,0,"Pebble","Pebble",6,6,"Ashley Bolwerk"
"158","2017_L_03","7/23/2013",20170724,"Edge",8,80,0,"Sand","Pebble",4,6,"Ashley Bolwerk"
"159","2017_L_03","7/23/2013",20170724,"Edge",9,90,0,"Sandy mud","Sandy mud",2,2,"Ashley Bolwerk"
"160","2017_L_03","7/23/2013",20170724,"Edge",10,100,0,"Sand","Sandy mud",4,2,"Ashley Bolwerk"
"161","2017_L_03","7/23/2013",20170724,"Inside",1,10,0,"Mud","Sandy mud",1,2,"Ashley Bolwerk"
"162","2017_L_03","7/23/2013",20170724,"Inside",2,20,0,"Sandy mud","Sandy mud",2,2,"Ashley Bolwerk"
"163","2017_L_03","7/23/2013",20170724,"Inside",3,30,1,"Sandy mud","Gravel",2,7,"Ashley Bolwerk"
"164","2017_L_03","7/23/2013",20170724,"Inside",4,40,0,"Muddy Sand","Gravel",3,7,"Ashley Bolwerk"
"165","2017_L_03","7/23/2013",20170724,"Inside",5,50,0,"Muddy Sand","Gravel",3,7,"Ashley Bolwerk"
"166","2017_L_03","7/23/2013",20170724,"Inside",6,60,0,"Gravel","Sand",7,4,"Ashley Bolwerk"
"167","2017_L_03","7/23/2013",20170724,"Inside",7,70,0,"Gravel","Sand",7,4,"Ashley Bolwerk"
"168","2017_L_03","7/23/2013",20170724,"Inside",8,80,0,"Sandy mud","Gravel",2,7,"Ashley Bolwerk"
"169","2017_L_03","7/23/2013",20170724,"Inside",9,90,0,"Mud","Gravel",1,7,"Ashley Bolwerk"
"170","2017_L_03","7/23/2013",20170724,"Inside",10,100,0,"Mud","Gravel",1,7,"Ashley Bolwerk"
"171","2017_L_03","7/23/2013",20170724,"Outside",1,10,0,"Gravel","Sandy mud",7,2,"Ashley Bolwerk"
"172","2017_L_03","7/23/2013",20170724,"Outside",2,20,0,"Gravel","Pebble",7,6,"Ashley Bolwerk"
"173","2017_L_03","7/23/2013",20170724,"Outside",3,30,0,"Gravel","Cobble",7,8,"Ashley Bolwerk"
"174","2017_L_03","7/23/2013",20170724,"Outside",4,40,0,"Gravel","Sandy mud",7,2,"Ashley Bolwerk"
"175","2017_L_03","7/23/2013",20170724,"Outside",5,50,0,"Gravel","Sandy mud",7,2,"Ashley Bolwerk"
"176","2017_L_03","7/23/2013",20170724,"Outside",6,60,0,"Gravel","Sandy mud",7,2,"Ashley Bolwerk"
"177","2017_L_03","7/23/2013",20170724,"Outside",7,70,0,"Gravel","Sandy mud",7,2,"Ashley Bolwerk"
"178","2017_L_03","7/23/2013",20170724,"Outside",8,80,0,"Gravel","Cobble",7,8,"Ashley Bolwerk"
"179","2017_L_03","7/23/2013",20170724,"Outside",9,90,0,"Gravel","Sand",7,4,"Ashley Bolwerk"
"180","2017_L_03","7/23/2013",20170724,"Outside",10,100,0,"Gravel","Sand",7,4,"Ashley Bolwerk"
