"site","date_set","YYYYMMDD_set","time_set","date_pulled","YYYYMMDD_pulled","time_pulled","time_soak_hr","string","sp_code","mass_g"
"2017_L_03","5/26/2017",20170526,1215,"5/26/2017",20170526,1140,23.42,"2","CRABGRA",0
"2017_L_03","5/26/2017",20170526,1215,"5/26/2017",20170526,1140,23.42,"2","CRABHEL",0
"2017_L_03","5/26/2017",20170526,1215,"5/26/2017",20170526,1140,23.42,"2","CRABDEC",0
"2017_L_03","5/26/2017",20170526,1215,"5/26/2017",20170526,1140,23.42,"3","CRABDEC",0
"2017_L_03","5/26/2017",20170526,1215,"5/26/2017",20170526,1140,23.42,"3","CRABDUN",0
"2017_L_03","5/26/2017",20170526,1215,"5/26/2017",20170526,1140,23.42,"3","CRABGRA",0
"2017_L_03","5/26/2017",20170526,1215,"5/26/2017",20170526,1140,23.42,"2","UNRKCB",0
"2017_L_03","5/26/2017",20170526,1215,"5/26/2017",20170526,1140,23.42,"3","CRABRR",1259.04112957996
"2017_L_03","5/26/2017",20170526,1215,"5/26/2017",20170526,1140,23.42,"3","UNRKCB",0
"2017_L_03","5/26/2017",20170526,1215,"5/26/2017",20170526,1140,23.42,"1","CRABGRA",0
"2017_L_03","5/26/2017",20170526,1215,"5/26/2017",20170526,1140,23.42,"1","CRABHEL",0
"2017_L_03","5/26/2017",20170526,1215,"5/26/2017",20170526,1140,23.42,"1","CRABRR",144.409027154401
"2017_L_03","5/26/2017",20170526,1215,"5/26/2017",20170526,1140,23.42,"1","CRABDEC",0
"2017_L_03","5/26/2017",20170526,1215,"5/26/2017",20170526,1140,23.42,"1","CRABDUN",825.654252323499
"2017_L_03","5/26/2017",20170526,1215,"5/26/2017",20170526,1140,23.42,"3","CRABHEL",31.9160047497759
"2017_L_04","6/27/2017",20170627,1015,"6/28/2017",20170628,1010,23.92,"1","UNRKCB",0
"2017_L_04","6/27/2017",20170627,1015,"6/28/2017",20170628,1010,23.92,"1","CRABHEL",0
"2017_L_04","6/27/2017",20170627,1015,"6/28/2017",20170628,1010,23.92,"1","CRABRR",0
"2017_L_04","6/27/2017",20170627,1015,"6/28/2017",20170628,1010,23.92,"2","CRABHEL",0
"2017_L_04","6/27/2017",20170627,1015,"6/28/2017",20170628,1010,23.92,"2","CRABDEC",0
"2017_L_04","6/27/2017",20170627,1015,"6/28/2017",20170628,1010,23.92,"2","CRABDUN",490.797005782452
"2017_L_04","6/27/2017",20170627,1015,"6/28/2017",20170628,1010,23.92,"2","CRABGRA",0
"2017_L_04","6/27/2017",20170627,1015,"6/28/2017",20170628,1010,23.92,"1","CRABDEC",0
"2017_L_04","6/27/2017",20170627,1015,"6/28/2017",20170628,1010,23.92,"1","CRABDUN",138.818404378196
"2017_L_04","6/27/2017",20170627,1015,"6/28/2017",20170628,1010,23.92,"1","CRABGRA",0
"2017_L_04","6/27/2017",20170627,1015,"6/28/2017",20170628,1010,23.92,"3","CRABHEL",0
"2017_L_04","6/27/2017",20170627,1015,"6/28/2017",20170628,1010,23.92,"3","CRABRR",1463.65035727244
"2017_L_04","6/27/2017",20170627,1015,"6/28/2017",20170628,1010,23.92,"3","UNRKCB",0
"2017_L_04","6/27/2017",20170627,1015,"6/28/2017",20170628,1010,23.92,"3","CRABDUN",100.881294554954
"2017_L_04","6/27/2017",20170627,1015,"6/28/2017",20170628,1010,23.92,"2","CRABRR",609.189477103737
"2017_L_04","6/27/2017",20170627,1015,"6/28/2017",20170628,1010,23.92,"2","UNRKCB",0
"2017_L_04","6/27/2017",20170627,1015,"6/28/2017",20170628,1010,23.92,"3","CRABDEC",0
"2017_L_04","6/27/2017",20170627,1015,"6/28/2017",20170628,1010,23.92,"3","CRABGRA",0
"2017_L_05","6/27/2017",20170627,1210,"6/28/2017",20170628,1213,24.05,"1","CRABDEC",0
"2017_L_05","6/27/2017",20170627,1210,"6/28/2017",20170628,1213,24.05,"1","CRABDUN",612.892915918346
"2017_L_05","6/27/2017",20170627,1210,"6/28/2017",20170628,1213,24.05,"1","CRABGRA",0
"2017_L_05","6/27/2017",20170627,1210,"6/28/2017",20170628,1213,24.05,"1","CRABHEL",0
"2017_L_05","6/27/2017",20170627,1210,"6/28/2017",20170628,1213,24.05,"1","CRABRR",606.30241755559
"2017_L_05","6/27/2017",20170627,1210,"6/28/2017",20170628,1213,24.05,"2","CRABHEL",0
"2017_L_05","6/27/2017",20170627,1210,"6/28/2017",20170628,1213,24.05,"2","CRABRR",0
"2017_L_05","6/27/2017",20170627,1210,"6/28/2017",20170628,1213,24.05,"2","UNRKCB",0
"2017_L_05","6/27/2017",20170627,1210,"6/28/2017",20170628,1213,24.05,"3","CRABDEC",0
"2017_L_05","6/27/2017",20170627,1210,"6/28/2017",20170628,1213,24.05,"3","CRABDUN",462.778229739919
"2017_L_05","6/27/2017",20170627,1210,"6/28/2017",20170628,1213,24.05,"3","CRABGRA",0
"2017_L_05","6/27/2017",20170627,1210,"6/28/2017",20170628,1213,24.05,"3","CRABHEL",0
"2017_L_05","6/27/2017",20170627,1210,"6/28/2017",20170628,1213,24.05,"3","CRABRR",0
"2017_L_05","6/27/2017",20170627,1210,"6/28/2017",20170628,1213,24.05,"3","UNRKCB",0
"2017_L_05","6/27/2017",20170627,1210,"6/28/2017",20170628,1213,24.05,"1","UNRKCB",0
"2017_L_05","6/27/2017",20170627,1210,"6/28/2017",20170628,1213,24.05,"2","CRABDEC",0
"2017_L_05","6/27/2017",20170627,1210,"6/28/2017",20170628,1213,24.05,"2","CRABDUN",0
"2017_L_05","6/27/2017",20170627,1210,"6/28/2017",20170628,1213,24.05,"2","CRABGRA",0
"2017_L_06","8/10/2017",20170810,804,"8/11/2017",20170811,914,25.17,"3","CRABDUN",0
"2017_L_06","8/10/2017",20170810,804,"8/11/2017",20170811,914,25.17,"2","CRABGRA",0
"2017_L_06","8/10/2017",20170810,804,"8/11/2017",20170811,914,25.17,"2","CRABRR",831.34268322219
"2017_L_06","8/10/2017",20170810,804,"8/11/2017",20170811,914,25.17,"2","UNRKCB",0
"2017_L_06","8/10/2017",20170810,804,"8/11/2017",20170811,914,25.17,"3","CRABDEC",0
"2017_L_06","8/10/2017",20170810,804,"8/11/2017",20170811,914,25.17,"2","CRABHEL",0
"2017_L_06","8/10/2017",20170810,804,"8/11/2017",20170811,914,25.17,"3","CRABHEL",0
"2017_L_06","8/10/2017",20170810,804,"8/11/2017",20170811,914,25.17,"3","CRABRR",0
"2017_L_06","8/10/2017",20170810,804,"8/11/2017",20170811,914,25.17,"3","UNRKCB",0
"2017_L_06","8/10/2017",20170810,804,"8/11/2017",20170811,914,25.17,"3","CRABGRA",0
"2017_L_06","8/10/2017",20170810,804,"8/11/2017",20170811,914,25.17,"1","CRABRR",796.969856245581
"2017_L_06","8/10/2017",20170810,804,"8/11/2017",20170811,914,25.17,"1","UNRKCB",0
"2017_L_06","8/10/2017",20170810,804,"8/11/2017",20170811,914,25.17,"2","CRABDEC",0
"2017_L_06","8/10/2017",20170810,804,"8/11/2017",20170811,914,25.17,"2","CRABDUN",324.208081233808
"2017_L_06","8/10/2017",20170810,804,"8/11/2017",20170811,914,25.17,"1","CRABHEL",0
"2017_L_06","8/10/2017",20170810,804,"8/11/2017",20170811,914,25.17,"1","CRABDEC",0
"2017_L_06","8/10/2017",20170810,804,"8/11/2017",20170811,914,25.17,"1","CRABDUN",0
