region,site,latitude,longitude,date_yyyy.mm.dd,year,replicate,n_otter
"west prince of wales island, alaska",Guktu Cove 2,55.752132,-133.267273,6/6/2018,2018,1,1
"west prince of wales island, alaska",Guktu Cove 2,55.750481,-133.262772,6/6/2018,2018,1,3
"west prince of wales island, alaska",Guktu Cove 2,55.767433,-133.318695,7/31/2018,2018,2,23
"west prince of wales island, alaska",Guktu Cove 2,55.769524,-133.310349,7/31/2018,2018,2,1
"west prince of wales island, alaska",Guktu Cove 2,55.766155,-133.312088,7/31/2018,2018,2,1
"west prince of wales island, alaska",Guktu Cove 2,55.761406,-133.304214,7/31/2018,2018,2,1
"west prince of wales island, alaska",Guktu Cove 2,55.755524,-133.303299,7/31/2018,2018,2,2
"west prince of wales island, alaska",Guktu Cove 2,55.752914,-133.301865,7/31/2018,2018,2,3
"west prince of wales island, alaska",Guktu Cove 2,55.746338,-133.307251,7/31/2018,2018,2,1
"west prince of wales island, alaska",Guktu Cove 2,55.754375,-133.300171,7/31/2018,2018,2,27
"west prince of wales island, alaska",Guktu Cove 2,55.754162,-133.296967,7/31/2018,2018,2,4
"west prince of wales island, alaska",Guktu Cove 2,55.750961,-133.291046,7/31/2018,2018,2,1
"west prince of wales island, alaska",Guktu Cove 2,55.754528,-133.287582,7/31/2018,2018,2,5
"west prince of wales island, alaska",Guktu Cove 2,55.755386,-133.290253,7/31/2018,2018,2,1
"west prince of wales island, alaska",Guktu Cove 2,55.760189,-133.291687,7/31/2018,2018,2,51
"west prince of wales island, alaska",Guktu Cove 2,55.76305,-133.284836,7/31/2018,2018,2,1
"west prince of wales island, alaska",Guktu Cove 2,55.760532,-133.280762,7/31/2018,2018,2,3
"west prince of wales island, alaska",Guktu Cove 2,55.759781,-133.283783,7/31/2018,2018,2,1
"west prince of wales island, alaska",Guktu Cove 2,55.761009,-133.270859,7/31/2018,2018,2,2
"west prince of wales island, alaska",Guktu Cove 2,55.747227,-133.26535,7/31/2018,2018,2,2
"west prince of wales island, alaska",Guktu Cove 2,55.740803,-133.291962,7/31/2018,2018,2,1
"west prince of wales island, alaska",Hauti Island,55.848503,-133.195084,6/6/2018,2018,1,3
"west prince of wales island, alaska",Hauti Island,55.849056,-133.190628,6/6/2018,2018,1,1
"west prince of wales island, alaska",Hauti Island,55.848515,-133.192307,6/6/2018,2018,1,1
"west prince of wales island, alaska",Hauti Island,55.843834,-133.180954,6/6/2018,2018,1,1
"west prince of wales island, alaska",Hauti Island,55.837101,-133.171738,6/6/2018,2018,1,1
"west prince of wales island, alaska",Hauti Island,55.848583,-133.17366,6/6/2018,2018,1,2
"west prince of wales island, alaska",Hauti Island,55.853249,-133.171219,6/6/2018,2018,1,1
"west prince of wales island, alaska",Hauti Island,55.853832,-133.17511,6/6/2018,2018,1,4
"west prince of wales island, alaska",Hauti Island,55.861637,-133.168777,6/6/2018,2018,1,1
"west prince of wales island, alaska",Hauti Island,55.858509,-133.169083,6/6/2018,2018,1,1
"west prince of wales island, alaska",Hauti Island,55.880466,-133.152298,6/6/2018,2018,1,1
"west prince of wales island, alaska",Hauti Island,55.884262,-133.170776,6/6/2018,2018,1,1
"west prince of wales island, alaska",Hauti Island,55.884251,-133.15889,6/6/2018,2018,1,1
"west prince of wales island, alaska",Hauti Island,55.839386,-133.179855,7/31/2018,2018,2,1
"west prince of wales island, alaska",Hauti Island,55.844585,-133.188919,7/31/2018,2018,2,7
"west prince of wales island, alaska",Hauti Island,55.849068,-133.193283,7/31/2018,2018,2,1
"west prince of wales island, alaska",Hauti Island,55.850529,-133.186752,7/31/2018,2018,2,8
"west prince of wales island, alaska",Hauti Island,55.850952,-133.167786,7/31/2018,2018,2,1
"west prince of wales island, alaska",Hauti Island,55.847706,-133.168732,7/31/2018,2018,2,3
"west prince of wales island, alaska",Hauti Island,55.84684,-133.164566,7/31/2018,2018,2,2
"west prince of wales island, alaska",Hauti Island,55.847424,-133.173157,7/31/2018,2018,2,1
"west prince of wales island, alaska",Hauti Island,55.859211,-133.175888,7/31/2018,2018,2,1
"west prince of wales island, alaska",Hauti Island,55.858982,-133.169327,7/31/2018,2018,2,2
"west prince of wales island, alaska",Hauti Island,55.879932,-133.156769,7/31/2018,2018,2,1
"west prince of wales island, alaska",Kaguk Cove,55.760326,-133.307114,6/6/2018,2018,1,1
"west prince of wales island, alaska",Kaguk Cove,55.762115,-133.303635,6/6/2018,2018,1,2
"west prince of wales island, alaska",Kaguk Cove,55.758949,-133.308655,6/6/2018,2018,1,1
"west prince of wales island, alaska",Kaguk Cove,55.758083,-133.308044,6/6/2018,2018,1,1
"west prince of wales island, alaska",Kaguk Cove,55.751186,-133.288498,6/6/2018,2018,1,2
"west prince of wales island, alaska",Kaguk Cove,55.748653,-133.301529,6/6/2018,2018,1,1
"west prince of wales island, alaska",Kaguk Cove,55.75391,-133.299744,6/6/2018,2018,1,2
