"","otter_region","site","latitude","longitude","core_letter","layer_number","layer_thickness","layer_volume","sample_volume","pan_number","pan_weight","pan_sed_ww_pre_60C","pan_sed_dw_post_60C","dry_bulk_density","pan_sed_dw_pre_450C","pan_sed_dw_post450C","crucible_weight","crucible_sed_dw_pre_950C","crucible_sed_dw_post_950C","sed_ww_pre_60C","na.rm","sed_dw_post_60C","sed_dw_pre_450C","sed_dw_post_450C","om_weight","sed_dw_pre_950C","sed_dw_post_950C","im_weight","om_percent","im_percent","om.im_ratio","om_density","im_density","core_depth"
"48","Mid","M08",55.282137,-133.334028,"A",18,0.9,17.6625,17.6625,18,1.29998,33.18968,24.28878,1.30155980184006,24.28878,21.76751,NA,NA,NA,31.8897,TRUE,22.9888,22.9888,20.46753,2.52127,NA,NA,NA,10.9673841174833,NA,NA,3.28158368158528,NA,36
"49","Mid","M08",55.282137,-133.334028,"A",19,0.9,17.6625,17.6625,19,1.28554,35.22683,26.46217,1.42542845010616,26.46217,23.93383,NA,NA,NA,33.94129,TRUE,25.17663,25.17663,22.64829,2.52834,NA,NA,NA,10.0424083763395,NA,NA,3.6039677675414,NA,38
"50","Mid","M08",55.282137,-133.334028,"A",20,0.9,17.6625,17.6625,20,1.27845,35.36879,27.27786,1.4720118895966,27.27786,24.81731,NA,NA,NA,34.09034,TRUE,25.99941,25.99941,23.53886,2.46055,NA,NA,NA,9.46386860317215,NA,NA,3.62195885494692,NA,40
"51","Mid","M08",55.282137,-133.334028,"A",21,0.6,11.775,11.775,21,1.28702,19.90504,16.16541,1.26355753715499,16.16541,14.74978,NA,NA,NA,18.61802,TRUE,14.87839,14.87839,13.46276,1.41563,NA,NA,NA,9.5146719503925,NA,NA,1.78872995632272,NA,42
"52","Mid","M08",55.282137,-133.334028,"A",22,1,19.625,19.625,22,1.29476,43.01749,33.88045,1.66041732484076,33.88045,31.59354,26.58674,59.1133,39.64537,41.72273,TRUE,32.58569,32.58569,30.29878,2.28691000000001,32.52656,13.05863,19.46793,7.01814201264422,59.8524098459843,0.117470629902614,3.7972249843516,32.3248882507873,44
"53","Mid","M08",55.282137,-133.334028,"A",23,1,19.625,19.625,23,1.29699,38.91761,29.86146,1.45551439490446,29.86146,27.42646,NA,NA,NA,37.62062,TRUE,28.56447,28.56447,26.12947,2.435,NA,NA,NA,8.5245761605239,NA,NA,3.54417755159236,NA,46
"54","Mid","M08",55.282137,-133.334028,"A",24,1,19.625,19.625,24,1.29531,28.53306,20.93863,1.00093350318471,20.93863,18.24924,NA,NA,NA,27.23775,TRUE,19.64332,19.64332,16.95393,2.68939,NA,NA,NA,13.6911173874885,NA,NA,2.69190055412994,NA,48
"55","High","H06",55.739816,-133.312022,"A",1,1.3,25.5125,25.5125,1,1.28734,40.37477,20.61909,0.757736403723665,20.61909,18.10964,NA,NA,NA,39.08743,TRUE,19.33175,19.33175,16.8223,2.50945,NA,NA,NA,12.9809768903488,NA,NA,1.90150161832435,NA,2
"56","High","H06",55.739816,-133.312022,"A",2,1.1,21.5875,21.5875,2,1.29193,34.55639,21.8582,0.95269345686161,21.8582,19.89152,24.85565,45.6349,42.94444,33.26446,TRUE,20.56627,20.56627,18.59959,1.96668,20.77925,18.08879,2.69046,9.56264796679223,12.9478205421274,0.73098280591423,1.87364316774059,2.56318363794789,4
"57","High","H06",55.739816,-133.312022,"A",3,1.1,21.5875,21.5875,3,1.30293,36.36605,23.25126,1.01671476548929,23.25126,20.85591,NA,NA,NA,35.06312,TRUE,21.94833,21.94833,19.55298,2.39535,NA,NA,NA,10.9135865917817,NA,NA,2.43538771351476,NA,6
"58","High","H06",55.739816,-133.312022,"A",4,1.1,21.5875,21.5875,4,1.29728,35.42625,23.34507,1.02132206137811,23.34507,21.06854,NA,NA,NA,34.12897,TRUE,22.04779,22.04779,19.77126,2.27653,NA,NA,NA,10.3254339777365,NA,NA,2.32507031238912,NA,8
"59","High","H06",55.739816,-133.312022,"A",5,1.1,21.5875,21.5875,5,1.29565,36.39281,23.62767,1.03448847712797,23.62767,21.46811,NA,NA,NA,35.09716,TRUE,22.33202,22.33202,20.17246,2.15956,NA,NA,NA,9.67024030965402,NA,NA,2.23403993566647,NA,10
"60","High","H06",55.739816,-133.312022,"A",6,0.9,17.6625,17.6625,6,1.29274,29.34109,17.69216,0.928488039631989,17.69216,16.74542,NA,NA,NA,28.04835,TRUE,16.39942,16.39942,15.45268,0.946740000000004,NA,NA,NA,5.77300904544187,NA,NA,0.879036766641192,NA,12
"61","High","H06",55.739816,-133.312022,"A",7,1.3,25.5125,25.5125,7,1.28584,43.07524,27.19021,1.01535992160706,27.19021,26.04895,28.13691,55.32712,51.01805,41.7894,TRUE,25.90437,25.90437,24.76311,1.14126,27.19021,22.88114,4.30907,4.40566591660017,15.8478731867095,0.264850652228903,1.15878966413327,4.37525697739931,14
