OtterID,SIN,N,C,distance,Season,Site
200762,419307,13.52,-13.36,2.1,Summer,Sukkwan Strait
200762,419308,13.25,-13.35,2.8,Spring,Sukkwan Strait
200762,419309,13.24,-13.34,3.5,Spring,Sukkwan Strait
200762,419310,13.1,-13.17,4.2,Spring,Sukkwan Strait
200762,419311,13.34,-13.18,4.9,Winter,Sukkwan Strait
200762,419312,13.22,-13.19,5.6,Winter,Sukkwan Strait
200762,419313,13.03,-13.38,6.4,Fall,Sukkwan Strait
200763,419314,12.69,-13.56,0,Fall,Sukkwan Strait
200763,419315,12.61,-13.02,0.7,Summer,Sukkwan Strait
200763,419316,12.82,-12.58,1.4,Summer,Sukkwan Strait
200763,419317,12.64,-12.64,2,Summer,Sukkwan Strait
200763,419318,12.53,-12.68,2.7,Spring,Sukkwan Strait
200763,419319,12.75,-13.21,3.5,Spring,Sukkwan Strait
200763,419320,12.79,-13.14,4.2,Spring,Sukkwan Strait
200763,419321,12.59,-13.65,4.9,Winter,Sukkwan Strait
200763,419322,12.71,-13.4,5.5,Winter,Sukkwan Strait
200765,419323,13.16,-13.39,0,Fall,Sukkwan Strait
200765,419324,12.86,-13.19,0.6,Summer,Sukkwan Strait
200765,419325,13.07,-13.31,1.3,Summer,Sukkwan Strait
200765,419326,13.13,-13.88,2,Summer,Sukkwan Strait
200765,419327,12.87,-13.54,2.7,Spring,Sukkwan Strait
200765,419328,12.64,-13.05,3.4,Spring,Sukkwan Strait
200765,419329,12.68,-12.77,4.1,Spring,Sukkwan Strait
200765,419330,12.73,-13.01,4.8,Winter,Sukkwan Strait
200765,419331,12.56,-12.82,5.5,Winter,Sukkwan Strait
200765,419332,12.56,-12.86,6.1,Winter,Sukkwan Strait
200765,419333,12.35,-13.1,6.8,Fall,Sukkwan Strait
