"","latitude_N","longitude_E","layer_number","layer_thickness_cm","pan_weight","pan_sed_ww_pre_60C","pan_sed_dw_post_60C","pan_sed_dw_pre_450C","pan_sed_dw_post450C","crucible_weight","crucible_sed_dw_pre_950C","crucible_sed_dw_post_950C","site_code"
"187",55.344914,-133.0011,6,1.3,1.29171,45.9645,38.92442,37.27458,36.70715,NA,NA,NA,"2017_M_06"
"188",55.344914,-133.0011,7,1.1,1.28215,45.97833,39.16491,37.53159,36.89601,26.81934,NA,51.82045,"2017_M_06"
"189",55.344914,-133.0011,8,1.3,1.28453,57.1562,48.74515,46.97094,46.30554,NA,NA,NA,"2017_M_06"
"190",55.344914,-133.0011,9,1.3,1.28986,55.82399,48.15924,46.22638,45.59983,NA,NA,NA,"2017_M_06"
"191",55.344914,-133.0011,10,1.2,1.29126,51.43329,43.56944,41.78402,41.13925,NA,NA,NA,"2017_M_06"
"192",55.344914,-133.0011,11,1.1,1.28902,39.26645,33.84511,31.93674,31.4471,NA,NA,NA,"2017_M_06"
"193",55.344914,-133.0011,12,1.3,1.29165,53.28925,47.75912,45.21613,44.65898,26.03682,NA,68.251,"2017_M_06"
"194",55.344914,-133.0011,13,1.1,1.28204,48.48654,43.73262,41.68298,41.17037,NA,NA,NA,"2017_M_06"
"195",55.344914,-133.0011,14,1.3,1.30171,62.38837,56.89498,54.59968,54.70537,NA,NA,NA,"2017_M_06"
"196",55.344914,-133.0011,15,1.2,1.27427,57.5699,51.78433,49.64148,49.0419,NA,NA,NA,"2017_M_06"
"197",55.344914,-133.0011,16,1.2,1.28669,61.50055,55.62004,53.60409,53.00698,NA,NA,NA,"2017_M_06"
"198",55.344914,-133.0011,17,1.2,1.29904,56.27389,48.37928,46.55286,46.04332,29.93142,NA,73.46055,"2017_M_06"
"199",55.344914,-133.0011,18,1.2,1.28643,50.48941,43.42192,41.48372,40.95392,NA,NA,NA,"2017_M_06"
"200",55.344914,-133.0011,19,1.2,1.29066,50.74353,44.1133,41.98643,41.43867,NA,NA,NA,"2017_M_06"
"201",55.344914,-133.0011,20,1.2,1.28773,55.35147,49.60519,47.65761,47.14333,NA,NA,NA,"2017_M_06"
"202",55.344914,-133.0011,21,1,1.28872,55.18236,50.60859,48.7153,48.21322,NA,NA,NA,"2017_M_06"
"203",55.344914,-133.0011,22,1.2,1.2828,57.8862,52.45939,50.38066,49.96673,27.33828,NA,74.82235,"2017_M_06"
"204",55.344914,-133.0011,23,1.2,1.29264,50.31485,43.75004,41.8647,41.40465,NA,NA,NA,"2017_M_06"
"205",55.344914,-133.0011,24,1,1.28556,51.81122,47.03712,45.23605,44.78811,NA,NA,NA,"2017_M_06"
"206",55.344914,-133.0011,25,1.2,1.2873,53.39172,46.91364,45.32313,42.00906,NA,NA,NA,"2017_M_06"
"207",55.344914,-133.0011,26,1.1,1.27604,49.34127,42.9291,40.96576,40.51105,NA,NA,NA,"2017_M_06"
"208",55.344914,-133.0011,27,1.2,1.28362,44.28402,37.73198,35.66524,35.29915,26.60528,NA,59.82202,"2017_M_06"
"209",55.344914,-133.0011,28,1.2,1.27989,54.59331,49.42013,47.8718,47.25461,NA,NA,NA,"2017_M_06"
"210",55.344914,-133.0011,29,1,1.27621,45.87968,41.57451,40.03121,39.56438,NA,NA,NA,"2017_M_06"
