geo_region,site_name,site_code,so_region,latitude_N,longitude_E,date_mm.dd.yyyy,year,replicate,n_otter
"west prince of wales island, alaska",Guktu Cove b,H_06_b,High,55.767998,-133.311768,6/6/18,2018,1,1
"west prince of wales island, alaska",Guktu Cove b,H_06_b,High,55.769699,-133.309067,6/6/18,2018,1,1
"west prince of wales island, alaska",Guktu Cove b,H_06_b,High,55.767597,-133.300461,6/6/18,2018,1,1
"west prince of wales island, alaska",Guktu Cove b,H_06_b,High,55.767147,-133.299179,6/6/18,2018,1,3
"west prince of wales island, alaska",Guktu Cove b,H_06_b,High,55.764339,-133.300644,6/6/18,2018,1,1
"west prince of wales island, alaska",Guktu Cove b,H_06_b,High,55.762115,-133.303635,6/6/18,2018,1,2
"west prince of wales island, alaska",Guktu Cove b,H_06_b,High,55.758949,-133.308655,6/6/18,2018,1,1
"west prince of wales island, alaska",Guktu Cove b,H_06_b,High,55.758083,-133.308044,6/6/18,2018,1,1
"west prince of wales island, alaska",Guktu Cove b,H_06_b,High,55.751186,-133.288498,6/6/18,2018,1,2
"west prince of wales island, alaska",Guktu Cove b,H_06_b,High,55.748653,-133.301529,6/6/18,2018,1,1
"west prince of wales island, alaska",Guktu Cove b,H_06_b,High,55.75391,-133.299744,6/6/18,2018,1,2
"west prince of wales island, alaska",Guktu Cove b,H_06_b,High,55.754585,-133.296021,6/6/18,2018,1,6
"west prince of wales island, alaska",Guktu Cove b,H_06_b,High,55.75713,-133.300232,6/6/18,2018,1,1
"west prince of wales island, alaska",Guktu Cove b,H_06_b,High,55.757771,-133.295471,6/6/18,2018,1,1
"west prince of wales island, alaska",Guktu Cove b,H_06_b,High,55.759029,-133.290329,6/6/18,2018,1,1
"west prince of wales island, alaska",Guktu Cove b,H_06_b,High,55.763535,-133.287292,6/6/18,2018,1,1
"west prince of wales island, alaska",Guktu Cove b,H_06_b,High,55.761444,-133.281723,6/6/18,2018,1,1
"west prince of wales island, alaska",Guktu Cove b,H_06_b,High,55.764179,-133.278687,6/6/18,2018,1,6
"west prince of wales island, alaska",Guktu Cove b,H_06_b,High,55.761086,-133.274826,6/6/18,2018,1,1
"west prince of wales island, alaska",Guktu Cove b,H_06_b,High,55.752193,-133.284683,6/6/18,2018,1,1
"west prince of wales island, alaska",Guktu Cove b,H_06_b,High,55.746967,-133.276978,6/6/18,2018,1,1
"west prince of wales island, alaska",Guktu Cove b,H_06_b,High,55.752132,-133.267273,6/6/18,2018,1,1
"west prince of wales island, alaska",Guktu Cove b,H_06_b,High,55.750481,-133.262772,6/6/18,2018,1,3
"west prince of wales island, alaska",Guktu Cove b,H_06_b,High,55.767433,-133.318695,31/7/18,2018,2,23
"west prince of wales island, alaska",Guktu Cove b,H_06_b,High,55.769524,-133.310349,31/7/18,2018,2,1
"west prince of wales island, alaska",Guktu Cove b,H_06_b,High,55.766155,-133.312088,31/7/18,2018,2,1
"west prince of wales island, alaska",Guktu Cove b,H_06_b,High,55.761406,-133.304214,31/7/18,2018,2,1
