site,date,YYYYMMDD,trans_type,trans_bin,trans_m,pit_bin,sed1_type,sed2_type,sed1_no,sed2_no,sedno_avg,field_collector,
2017_L_02,7/14/2013,20170715,Inside,5,50,0,Sand,Gravel,4,7,5.5,"Tiff Stephens, Wendel Raymond",
2017_L_02,7/14/2013,20170715,Inside,6,60,0,Sand,Pebble,4,6,5,"Tiff Stephens, Wendel Raymond",
2017_L_02,7/14/2013,20170715,Inside,7,70,1,Sand,Pebble,4,6,5,"Tiff Stephens, Wendel Raymond",
2017_L_02,7/14/2013,20170715,Inside,8,80,0,Sand,Sand,4,4,4,"Tiff Stephens, Wendel Raymond",
2017_L_02,7/14/2013,20170715,Inside,9,90,0,Sand,Pebble,4,6,5,"Tiff Stephens, Wendel Raymond",
2017_L_02,7/14/2013,20170715,Inside,10,100,0,Sand,Sand,4,4,4,"Tiff Stephens, Wendel Raymond",
2017_L_02,7/14/2013,20170715,Outside,1,10,0,Gravel,Sand,7,4,5.5,"Tiff Stephens, Wendel Raymond",
2017_L_02,7/14/2013,20170715,Outside,2,20,0,Gravel,Sand,7,4,5.5,"Tiff Stephens, Wendel Raymond",
2017_L_02,7/14/2013,20170715,Outside,3,30,0,Sand,Gravel,4,7,5.5,"Tiff Stephens, Wendel Raymond",
2017_L_02,7/14/2013,20170715,Outside,4,40,1,Gravel,Sand,7,4,5.5,"Tiff Stephens, Wendel Raymond",
2017_L_02,7/14/2013,20170715,Outside,5,50,0,Sand,Pebble,4,6,5,"Tiff Stephens, Wendel Raymond",
2017_L_02,7/14/2013,20170715,Outside,6,60,0,Sand,Pebble,4,6,5,"Tiff Stephens, Wendel Raymond",
2017_L_02,7/14/2013,20170715,Outside,7,70,0,Gravel,Sand,7,4,5.5,"Tiff Stephens, Wendel Raymond",
2017_L_02,7/14/2013,20170715,Outside,8,80,0,Sand,Gravel,4,7,5.5,"Tiff Stephens, Wendel Raymond",
2017_L_02,7/14/2013,20170715,Outside,9,90,0,Sand,Pebble,4,6,5,"Tiff Stephens, Wendel Raymond",
2017_L_02,7/14/2013,20170715,Outside,10,100,0,Sand,Pebble,4,6,5,"Tiff Stephens, Wendel Raymond",
2017_L_03,7/23/2013,20170724,Edge,1,10,0,Sandy mud,Sandy mud,2,2,2,Ashley Bolwerk,
2017_L_03,7/23/2013,20170724,Edge,2,20,0,Sandy mud,Sandy mud,2,2,2,Ashley Bolwerk,
2017_L_03,7/23/2013,20170724,Edge,3,30,0,Sandy mud,Mud,2,1,1.5,Ashley Bolwerk,
2017_L_03,7/23/2013,20170724,Edge,4,40,0,Sandy mud,Mud,2,1,1.5,Ashley Bolwerk,
2017_L_03,7/23/2013,20170724,Edge,5,50,0,Mud,Sandy mud,1,2,1.5,Ashley Bolwerk,
2017_L_03,7/23/2013,20170724,Edge,6,60,0,Sand,Pebble,4,6,5,Ashley Bolwerk,
2017_L_03,7/23/2013,20170724,Edge,7,70,0,Pebble,Pebble,6,6,6,Ashley Bolwerk,
2017_L_03,7/23/2013,20170724,Edge,8,80,0,Sand,Pebble,4,6,5,Ashley Bolwerk,
2017_L_03,7/23/2013,20170724,Edge,9,90,0,Sandy mud,Sandy mud,2,2,2,Ashley Bolwerk,
2017_L_03,7/23/2013,20170724,Edge,10,100,0,Sand,Sandy mud,4,2,3,Ashley Bolwerk,
2017_L_03,7/23/2013,20170724,Inside,1,10,0,Mud,Sandy mud,1,2,1.5,Ashley Bolwerk,
2017_L_03,7/23/2013,20170724,Inside,2,20,0,Sandy mud,Sandy mud,2,2,2,Ashley Bolwerk,
2017_L_03,7/23/2013,20170724,Inside,3,30,1,Sandy mud,Gravel,2,7,4.5,Ashley Bolwerk,
2017_L_03,7/23/2013,20170724,Inside,4,40,0,Muddy Sand,Gravel,3,7,5,Ashley Bolwerk,
2017_L_03,7/23/2013,20170724,Inside,5,50,0,Muddy Sand,Gravel,3,7,5,Ashley Bolwerk,
2017_L_03,7/23/2013,20170724,Inside,6,60,0,Gravel,Sand,7,4,5.5,Ashley Bolwerk,
2017_L_03,7/23/2013,20170724,Inside,7,70,0,Gravel,Sand,7,4,5.5,Ashley Bolwerk,
2017_L_03,7/23/2013,20170724,Inside,8,80,0,Sandy mud,Gravel,2,7,4.5,Ashley Bolwerk,
