,site,longitude,latitude,n_otters,survey_dat
346,Salt Lake Bay,-133.384521,55.691505,2,8/15/2019
347,Salt Lake Bay,-133.385147,55.691311,4,8/15/2019
348,Salt Lake Bay,-133.382645,55.690804,3,8/15/2019
349,Salt Lake Bay,-133.380997,55.690186,3,8/15/2019
350,Salt Lake Bay,-133.377258,55.689503,3,8/15/2019
351,Salt Lake Bay,-133.376114,55.690109,2,8/15/2019
352,Salt Lake Bay,-133.381042,55.689171,1,8/15/2019
353,Salt Lake Bay,-133.378815,55.688332,1,8/15/2019
354,Salt Lake Bay,-133.368881,55.690155,2,8/15/2019
355,Salt Lake Bay,-133.373322,55.686371,1,8/15/2019
356,Salt Lake Bay,-133.361481,55.688782,1,8/15/2019
357,Salt Lake Bay,-133.362274,55.689926,1,8/15/2019
358,Salt Lake Bay,-133.356903,55.689468,1,8/15/2019
359,Salt Lake Bay,-133.368027,55.687622,2,8/15/2019
360,Salt Lake Bay,-133.376541,55.682968,1,8/15/2019
361,Salt Lake Bay,-133.377579,55.683117,1,8/15/2019
362,Salt Lake Bay,-133.381104,55.675827,2,8/15/2019
363,Salt Lake Bay,-133.392929,55.68932,1,8/15/2019
364,Salt Lake Bay,-133.398376,55.687916,3,8/15/2019
365,Salt Lake Bay,-133.396561,55.683723,1,8/15/2019
366,Salt Lake Bay,-133.404037,55.673229,1,8/15/2019
367,Salt Lake Bay,-133.404129,55.666817,2,8/15/2019
368,Salt Lake Bay,-133.412796,55.668903,1,8/15/2019
369,Salt Lake Bay,-133.414917,55.669315,1,8/15/2019
370,Salt Lake Bay,-133.404068,55.686771,1,8/15/2019
371,Goats mouth Inlet,-132.899979,55.167019,1,8/16/2019
372,Salt Lake Bay,-133.401733,55.69651,3,8/15/2019
373,Soda Bay,-133.013779,55.262299,1,8/16/2019
374,Soda Bay,-133.010422,55.263298,1,8/16/2019
375,Soda Bay,-132.978134,55.259243,1,8/16/2019
376,Soda Bay,-132.968521,55.267288,1,8/16/2019
377,Soda Bay,-132.955261,55.26873,1,8/16/2019
378,Soda Bay,-132.977661,55.266857,1,8/16/2019
379,Soda Bay,-133.007187,55.270229,1,8/16/2019
380,Soda Bay,-133.032715,55.268066,1,8/16/2019
381,Soda Bay,-133.040054,55.26944,1,8/16/2019
382,Dunbar Inlet,-132.854736,55.077103,1,8/17/2019
383,Calder Bay,-133.566391,56.177868,2,8/5/2019
384,Calder Bay,-133.566879,56.176777,1,8/5/2019
385,Calder Bay,-133.558319,56.176853,1,8/5/2019
386,Calder Bay,-133.558319,56.17828,3,8/5/2019
387,Calder Bay,-133.564453,56.180786,1,8/5/2019
388,Calder Bay,-133.565109,56.184189,3,8/5/2019
389,Calder Bay,-133.564606,56.187313,5,8/5/2019
390,Calder Bay,-133.562592,56.183079,2,8/5/2019
