site_code,site_name,latitude_N,longitude_E,date_MMDDYYYY,depth_m_MLLW,layer_number,layer_thickness_cm,layer_depth_cm,layer_volume_cm3,dry_bulk_density,organic_dw_g,organic_dw_percent,organic_density,inorganic_dw_g,inorganic_dw_percent,inorganic_density
2017_L_04,Natzuhini Bay 1,55.25051,-132.883,6/28/2017,-0.4,2,1.9,2,37.30641276,1.687536146,1.69693,2.759405824,2.863630712,2.10063,3.514494699,3.544889054
2017_L_04,Natzuhini Bay 1,55.25051,-132.883,6/28/2017,-0.4,3,1.6,4,31.41592654,1.497791891,1.90197,4.168798223,2.848755242,NA,NA,NA
2017_L_04,Natzuhini Bay 1,55.25051,-132.883,6/28/2017,-0.4,4,1.6,6,31.41592654,1.366744029,0.8675,2.091589183,1.185650445,NA,NA,NA
2017_L_04,Natzuhini Bay 1,55.25051,-132.883,6/28/2017,-0.4,5,1.6,8,31.41592654,1.223922203,1.38263,3.75555165,1.692231555,NA,NA,NA
2017_L_04,Natzuhini Bay 1,55.25051,-132.883,6/28/2017,-0.4,6,1.8,10,35.34291735,1.702128305,0.94185,1.608668517,1.603149544,NA,NA,NA
2017_L_04,Natzuhini Bay 1,55.25051,-132.883,6/28/2017,-0.4,7,1.7,12,33.37942194,1.42764096,0.92103,1.991336993,1.314900154,2.5607,5.651549227,3.655760207
2017_L_04,Natzuhini Bay 1,55.25051,-132.883,6/28/2017,-0.4,8,1.8,14,35.34291735,1.265647359,1.29735,3.008031155,1.641987601,NA,NA,NA
2017_L_04,Natzuhini Bay 1,55.25051,-132.883,6/28/2017,-0.4,9,1.9,16,37.30641276,1.249620817,1.36263,3.020786571,1.702770814,NA,NA,NA
2017_L_04,Natzuhini Bay 1,55.25051,-132.883,6/28/2017,-0.4,10,1.8,18,35.34291735,1.303628943,1.21929,2.726197061,1.589501734,NA,NA,NA
2017_L_04,Natzuhini Bay 1,55.25051,-132.883,6/28/2017,-0.4,11,1.6,20,31.41592654,1.032788257,1.16184,3.727403913,1.199934708,NA,NA,NA
2017_L_04,Natzuhini Bay 1,55.25051,-132.883,6/28/2017,-0.4,12,1.7,22,33.37942194,1.26355873,0.95415,2.330748661,1.205624562,2.07378,5.190691807,2.620342823
2017_L_04,Natzuhini Bay 1,55.25051,-132.883,6/28/2017,-0.4,13,1.6,24,31.41592654,1.185903906,1.20641,3.371327522,1.430686332,NA,NA,NA
2017_L_04,Natzuhini Bay 1,55.25051,-132.883,6/28/2017,-0.4,14,1.7,26,33.37942194,1.147017467,1.14309,3.070182389,1.311144196,NA,NA,NA
2017_L_04,Natzuhini Bay 1,55.25051,-132.883,6/28/2017,-0.4,15,1.8,28,35.34291735,1.272136919,1.1335,2.60632651,1.441967198,NA,NA,NA
2017_H_05,Naukati Bay,55.862405,-133.190722,7/25/2017,-0.78,1,1.4,0,27.48893572,0.87338776,0.80253,3.539022605,0.700919879,NA,NA,NA
2017_H_05,Naukati Bay,55.862405,-133.190722,7/25/2017,-0.78,2,1.2,2,23.5619449,0.972738884,0.77683,3.619086309,0.755652748,0.84695,5.479600063,0.823861198
2017_H_05,Naukati Bay,55.862405,-133.190722,7/25/2017,-0.78,3,1.6,4,31.41592654,0.862073253,0.88315,3.455427856,0.761339994,NA,NA,NA
2017_H_05,Naukati Bay,55.862405,-133.190722,7/25/2017,-0.78,4,1.4,6,27.48893572,1.044025869,0.95934,3.54399255,1.001575777,NA,NA,NA
2017_H_05,Naukati Bay,55.862405,-133.190722,7/25/2017,-0.78,5,1.2,8,23.5619449,0.865562673,0.91145,4.744795145,0.788917098,NA,NA,NA
