site,latitude_N_dd,longitude_E_dd,date_YYYY/MM/DD,transect,replicate,sample_volume_cm3,bag_weight_g,bag_sed_ww_g,bag_sed_dw_g,pan_weight_g,pan_sed_dw_pre_450C_g,pan_sed_dw_post_450C_g
S Fish Egg Island,55.485687,-133.174447,25/6/18,outside,4,115,4.2828,247.61,206.49,1.30282,49.28126,48.6668
S Fish Egg Island,55.485687,-133.174447,25/6/18,outside,5,115,4.2732,240.13,204.01,1.322,43.0022,42.54497
Blanquizal Bay,55.620484,-133.386254,18/6/18,inside,1,115,4.2737,216.52,152.57,1.28726,37.1315,36.12309
Blanquizal Bay,55.620484,-133.386254,18/6/18,inside,2,115,4.3023,207.84,150.61,1.27446,38.12522,37.31127
Blanquizal Bay,55.620484,-133.386254,18/6/18,inside,3,115,4.3103,206.84,141.76,1.27212,36.01183,34.7729
Blanquizal Bay,55.620484,-133.386254,18/6/18,inside,4,115,4.3096,213.28,153,1.30158,36.92566,35.51085
Blanquizal Bay,55.620484,-133.386254,18/6/18,inside,5,115,4.2797,208.65,148.14,1.27314,36.6978,35.71434
Blanquizal Bay,55.620484,-133.386254,18/6/18,outside,1,115,4.2905,258.93,216.52,1.32042,47.19994,46.80419
Blanquizal Bay,55.620484,-133.386254,18/6/18,outside,2,115,4.2784,259.85,221.1,1.30377,52.06719,51.70754
Blanquizal Bay,55.620484,-133.386254,18/6/18,outside,3,115,4.2456,241.92,197.38,1.28553,50.67342,50.06523
Blanquizal Bay,55.620484,-133.386254,18/6/18,outside,4,115,4.274,262.79,230.6,1.29485,57.79715,57.33413
Blanquizal Bay,55.620484,-133.386254,18/6/18,outside,5,115,4.3105,263.31,228.06,1.27523,52.88438,52.43619
S Wadleigh Island,55.528424,-133.147345,12/6/18,inside,1,115,4.2928,204.86,138.48,1.27044,34.89724,33.94114
S Wadleigh Island,55.528424,-133.147345,12/6/18,inside,2,115,4.2992,204.66,137.98,1.25685,36.50745,35.50134
S Wadleigh Island,55.528424,-133.147345,12/6/18,inside,3,115,4.2917,199.85,130.37,1.26088,38.34748,37.23108
S Wadleigh Island,55.528424,-133.147345,12/6/18,inside,4,115,4.2719,192.67,120,1.2586,34.98291,33.93009
S Wadleigh Island,55.528424,-133.147345,12/6/18,inside,5,115,4.2902,197.76,133.23,1.28782,35.27637,34.28225
S Wadleigh Island,55.528424,-133.147345,12/6/18,outside,1,115,4.2893,245.31,201.76,1.27305,48.65254,48.06033
S Wadleigh Island,55.528424,-133.147345,12/6/18,outside,2,115,4.2815,243.71,201.35,1.25405,38.12723,37.65533
S Wadleigh Island,55.528424,-133.147345,12/6/18,outside,3,115,4.2838,249.54,206.63,1.246,46.24961,45.70689
S Wadleigh Island,55.528424,-133.147345,12/6/18,outside,4,115,4.2497,241.48,199.36,1.31593,45.7705,45.25595
S Wadleigh Island,55.528424,-133.147345,12/6/18,outside,5,115,4.252,254.71,210.19,1.29212,48.05471,47.44338
North Pass,55.228334,-132.910392,15/6/18,inside,1,115,4.3925,225.16,148.48,1.27547,41.26562,40.53989
North Pass,55.228334,-132.910392,15/6/18,inside,2,115,4.3495,219.3,149.56,1.28351,41.26321,40.48855
North Pass,55.228334,-132.910392,15/6/18,inside,3,115,4.3375,219.92,154.21,1.27603,39.28676,38.50921
North Pass,55.228334,-132.910392,15/6/18,inside,4,115,4.3316,218.29,150.42,1.28111,35.2647,34.48151
North Pass,55.228334,-132.910392,15/6/18,inside,5,115,4.3756,232.23,159.23,1.28143,33.98964,33.393
North Pass,55.228334,-132.910392,15/6/18,outside,1,115,4.3254,213.37,170.44,1.29775,41.75506,41.223
North Pass,55.228334,-132.910392,15/6/18,outside,2,115,4.3511,216.16,169.24,1.28964,32.35146,31.87645
North Pass,55.228334,-132.910392,15/6/18,outside,3,115,4.3199,218.55,173.45,1.28303,38.55755,38.08105
North Pass,55.228334,-132.910392,15/6/18,outside,4,115,4.3394,213.55,165.53,1.29402,38.10864,37.51472
North Pass,55.228334,-132.910392,15/6/18,outside,5,115,4.352,222.24,187.9,1.2785,45.97538,45.49054
Goat Mouth Inlet,55.19286,-132.9,14/6/18,inside,1,115,4.3044,237.72,193.83,1.28914,46.6129,46.16739
Goat Mouth Inlet,55.19286,-132.9,14/6/18,inside,2,115,4.3198,246.62,165.01,1.29612,46.92383,46.243
Goat Mouth Inlet,55.19286,-132.9,14/6/18,inside,3,115,4.3308,235.28,165.19,1.27217,43.19047,42.56831
Goat Mouth Inlet,55.19286,-132.9,14/6/18,inside,4,115,4.3269,223.54,201.33,1.2987,41.26153,40.82973
Goat Mouth Inlet,55.19286,-132.9,14/6/18,inside,5,115,4.3277,237.62,169.61,1.29434,39.42896,38.95309
Goat Mouth Inlet,55.19286,-132.9,14/6/18,outside,1,115,4.3174,240.77,193.55,1.27371,42.87908,42.37338
Goat Mouth Inlet,55.19286,-132.9,14/6/18,outside,2,115,4.3253,220.22,204.71,1.27998,52.53814,52.11371
Goat Mouth Inlet,55.19286,-132.9,14/6/18,outside,3,115,4.3141,223.14,185.07,1.29429,44.55539,44.10755
Goat Mouth Inlet,55.19286,-132.9,14/6/18,outside,4,115,4.2968,244.26,177.01,1.29088,40.9224,40.52578
Goat Mouth Inlet,55.19286,-132.9,14/6/18,outside,5,115,4.3317,222.51,190.39,1.29449,45.8606,45.28665
Port Refugio,,,10/8/18,inside,1,115,4.2788,230.87,184.51,1.27639,40.97812,40.04461
Port Refugio,,,10/8/18,inside,2,115,4.2559,217.32,158.94,1.28319,46.76582,45.7065
Port Refugio,,,10/8/18,inside,3,115,4.2613,237.72,187.18,1.28706,45.14609,44.21772
Port Refugio,,,10/8/18,inside,4,115,4.2439,228.14,177.88,1.28579,47.58698,46.70972
Port Refugio,,,10/8/18,inside,5,115,4.2469,230.1,179.47,1.29488,46.51506,45.57785
Port Refugio,,,10/8/18,outside,1,115,4.2585,221.91,169.29,1.28499,49.55402,48.42432
Port Refugio,,,10/8/18,outside,2,115,4.2505,241.02,195.01,1.28191,51.81382,50.60107
Port Refugio,,,10/8/18,outside,3,115,4.2609,225.37,176.86,1.28352,46.42322,45.43635
Port Refugio,,,10/8/18,outside,4,115,4.2513,241.13,194.93,1.27505,52.48835,51.38293
Port Refugio,,,10/8/18,outside,5,115,4.2631,203.04,142.23,1.28449,52.89601,51.54957
N Fish Egg Island,55.49609,-133.170968,19/6/18,inside,1,115,4.2609,219.36,157.27,1.27779,34.93365,34.09666
N Fish Egg Island,55.49609,-133.170968,19/6/18,inside,2,115,4.2594,216.77,151.04,1.28029,42.2866,42.2866
N Fish Egg Island,55.49609,-133.170968,19/6/18,inside,3,115,4.2674,215.87,149.12,1.2928,41.27007,40.3579
N Fish Egg Island,55.49609,-133.170968,19/6/18,inside,4,115,4.2616,212.79,147.87,1.29222,32.95665,32.15296
N Fish Egg Island,55.49609,-133.170968,19/6/18,inside,5,115,4.2465,222.2,145.7,1.29398,38.7268,37.80196
N Fish Egg Island,55.49609,-133.170968,19/6/18,outside,1,115,4.2532,214.27,171.78,1.27731,49.82803,49.1171
N Fish Egg Island,55.49609,-133.170968,19/6/18,outside,2,115,4.2192,212.9,170.27,1.27854,49.21284,48.57722
N Fish Egg Island,55.49609,-133.170968,19/6/18,outside,3,115,4.2547,206.47,160.79,1.2771,39.41205,38.67884
N Fish Egg Island,55.49609,-133.170968,19/6/18,outside,4,115,4.2442,207.23,164.71,1.28735,44.93326,44.20717
N Fish Egg Island,55.49609,-133.170968,19/6/18,outside,5,115,4.2639,203.9,173.39,1.2792,43.88886,43.12034
Kinani,55.889904,-133.250006,14/7/18,inside,1,115,4.2456,240.37,157.89,1.28501,45.0595,44.31764
Kinani,55.889904,-133.250006,14/7/18,inside,2,115,4.268,239.85,173.09,1.29078,54.38698,53.54109
Kinani,55.889904,-133.250006,14/7/18,inside,3,115,4.2612,236.27,179.78,1.29093,55.00661,54.45093
Kinani,55.889904,-133.250006,14/7/18,inside,4,115,4.2958,247.65,146.92,1.29575,41.8515,41.07646
Kinani,55.889904,-133.250006,14/7/18,inside,5,115,4.3028,225.33,166.82,1.28535,38.41819,37.84558
Kinani,55.889904,-133.250006,14/7/18,outside,1,115,4.206,214.66,198.81,1.28601,57.85492,57.22831
Kinani,55.889904,-133.250006,14/7/18,outside,2,115,4.2155,231.47,208.58,1.29268,59.38934,58.94577
Kinani,55.889904,-133.250006,14/7/18,outside,3,115,4.1863,228.57,196.13,1.28709,52.51197,52.02118
Kinani,55.889904,-133.250006,14/7/18,outside,4,115,4.2405,208.12,204.2,1.29707,59.99243,59.35334
Kinani,55.889904,-133.250006,14/7/18,outside,5,115,4.2174,221.18,174.16,1.29488,51.04673,50.31305
Soda Bay,55.264232,-132.994318,27/6/18,inside,1,115,4.2869,232.79,154.51,1.29338,43.60235,42.74631
Soda Bay,55.264232,-132.994318,27/6/18,inside,2,115,4.2421,221.5,159.87,1.27056,46.81158,46.03547
Soda Bay,55.264232,-132.994318,27/6/18,inside,3,115,4.276,241.8,147.09,1.288,43.97466,42.88909
Soda Bay,55.264232,-132.994318,27/6/18,inside,4,115,4.2419,243.61,150.7,1.28811,44.1213,43.21047
Soda Bay,55.264232,-132.994318,27/6/18,inside,5,115,4.2745,263.34,156.29,1.28926,42.51162,41.7736
Soda Bay,55.264232,-132.994318,27/6/18,outside,1,115,4.2712,214.25,188.33,1.29635,55.21394,54.60243
Soda Bay,55.264232,-132.994318,27/6/18,outside,2,115,4.244,213.17,174.52,1.2954,45.12417,44.59776
Soda Bay,55.264232,-132.994318,27/6/18,outside,3,115,4.2821,205.79,198.15,1.2958,58.34877,57.71988
Soda Bay,55.264232,-132.994318,27/6/18,outside,4,115,4.2931,212.17,199.27,1.29821,58.63474,58.03976
Soda Bay,55.264232,-132.994318,27/6/18,outside,5,115,4.2882,209.97,221.12,1.2978,55.69825,55.20927
Dunbar Inlet,,,11/8/18,inside,1,115,4.2971,221.46,179.16,1.29464,52.39627,51.96616
Dunbar Inlet,,,11/8/18,inside,2,115,4.2861,218.21,164.51,1.2841,45.05901,44.54431
Dunbar Inlet,,,11/8/18,inside,3,115,4.2563,213.95,165.06,1.29795,48.32743,47.81993
Dunbar Inlet,,,11/8/18,inside,4,115,4.2717,214.61,179.23,1.29853,47.77194,47.49009
Dunbar Inlet,,,11/8/18,inside,5,115,4.2885,221.81,177.09,1.29922,46.99458,46.61901
Dunbar Inlet,,,11/8/18,outside,1,115,4.2652,236.87,204.23,1.27974,60.39742,60.08213
Dunbar Inlet,,,11/8/18,outside,2,115,4.2802,228.46,195.44,1.29182,64.79405,64.44863
Dunbar Inlet,,,11/8/18,outside,3,115,4.2652,224.41,188.92,1.29268,52.14961,51.86364
Dunbar Inlet,,,11/8/18,outside,4,115,4.2386,227.45,192.73,1.28644,54.12341,53.86396
Dunbar Inlet,,,11/8/18,outside,5,115,4.2671,227.16,191,1.29848,56.87044,56.53056
Big Tree Bay,55.585855,-133.215512,11/7/18,inside,1,115,4.2361,241.85,144.78,1.28922,45.14784,44.06603
Big Tree Bay,55.585855,-133.215512,11/7/18,inside,2,115,4.2721,243.03,127.21,1.29136,31.78503,30.78643
Big Tree Bay,55.585855,-133.215512,11/7/18,inside,3,115,4.2437,233.48,120.58,1.29202,35.64251,34.44929
Big Tree Bay,55.585855,-133.215512,11/7/18,inside,4,115,4.2282,249.08,128.67,1.28962,36.69927,35.51342
Big Tree Bay,55.585855,-133.215512,11/7/18,inside,5,115,4.2502,208.83,144.77,1.29451,44.10394,42.9924
Big Tree Bay,55.585855,-133.215512,11/7/18,outside,1,115,4.2586,209.69,199.66,1.29583,56.58408,55.64784
Big Tree Bay,55.585855,-133.215512,11/7/18,outside,2,115,4.2443,194.67,198.59,1.28059,53.53009,52.59907
Big Tree Bay,55.585855,-133.215512,11/7/18,outside,3,115,4.2343,186.51,182.36,1.27776,58.55645,57.35311
Big Tree Bay,55.585855,-133.215512,11/7/18,outside,4,115,4.2245,199.04,208.27,1.28116,55.8891,55.21465
Big Tree Bay,55.585855,-133.215512,11/7/18,outside,5,115,4.273,205.58,164.58,1.27546,56.19022,55.15187
Port Caldera,55.36209,-133.161232,10/7/18,inside,1,115,4.3017,234.14,187.58,1.28061,54.23182,53.40702
Port Caldera,55.36209,-133.161232,10/7/18,inside,2,115,4.305,249.17,202.86,1.27609,56.97179,56.06105
Port Caldera,55.36209,-133.161232,10/7/18,inside,3,115,4.2548,225.79,175.86,1.27998,56.93966,55.866
Port Caldera,55.36209,-133.161232,10/7/18,inside,4,115,4.2717,233.79,173.82,1.2964,50.84793,49.8732
