"","otter_region","site","latitude","longitude","layer_number","layer_depth","layer_thickness","layer_volume_cm3","pan_weight","pan_sed_ww_pre_60C","pan_sed_dw_post_60C","sed_ww_pre_60C","sed_dw_post_60C","pan_sed_dw_pre_450C","pan_sed_dw_post450C","sed_dw_pre_450C","sed_dw_post_450C","crucible_weight","crucible_sed_dw_pre_950C","crucible_sed_dw_post_950C","sed_dw_pre_950C","sed_dw_post_950C","dry_bulk_density","om_dw","im_dw"
"76","High","2017_H_06",55.739816,-133.312022,22,44,1.2,23.5619449019235,1.28628,33.10723,33.10723,31.82095,31.82095,33.10723,29.42333,31.82095,28.13705,25.90963,56.61356,52.81994,30.70393,26.91031,1.35052306303468,3.6839,3.79362
"77","High","2017_H_01",55.67264,-133.378,1,2,1,19.6349540849362,1.2975,32.91782,21.4355,31.62032,20.138,21.4355,19.34504,20.138,18.04754,NA,NA,NA,NA,NA,1.02561991807507,2.09046,NA
"78","High","2017_H_01",55.67264,-133.378,2,4,1,19.6349540849362,1.29017,33.07367,22.18318,31.7835,20.89301,22.18318,19.96383,20.89301,18.67366,26.91961,47.44278,45.17108,20.52317,18.25147,1.06407226162189,2.21935,2.2717
"79","High","2017_H_01",55.67264,-133.378,3,6,0.9,17.6714586764426,1.29366,30.22783,20.37146,28.93417,19.0778,20.37146,18.39091,19.0778,17.09725,NA,NA,NA,NA,NA,1.07958263940216,1.98055,NA
"80","High","2017_H_01",55.67264,-133.378,4,8,1,19.6349540849362,1.28849,32.05987,21.15412,30.77138,19.86563,21.15412,19.27152,19.86563,17.98303,NA,NA,NA,NA,NA,1.01174822788309,1.8826,NA
"81","High","2017_H_01",55.67264,-133.378,5,10,0.9,17.6714586764426,1.2953,32.00376,22.68181,30.70846,21.38651,22.68181,20.69939,21.38651,19.40409,NA,NA,NA,NA,NA,1.21022890026107,1.98242,NA
"82","High","2017_H_01",55.67264,-133.378,6,12,1,19.6349540849362,1.30059,36.40771,26.79312,35.10712,25.49253,26.79312,24.46749,25.49253,23.1669,NA,NA,NA,NA,NA,1.2983238916539,2.32563,NA
"83","High","2017_H_01",55.67264,-133.378,7,14,0.9,17.6714586764426,1.29462,33.89468,25.23197,32.60006,23.93735,25.23197,23.06074,23.93735,21.76612,26.73605,50.25197,47.98225,23.51592,21.2462,1.35457691627406,2.17123,2.26972
"84","High","2017_H_01",55.67264,-133.378,8,16,0.9,17.6714586764426,1.29041,31.55688,23.43192,30.26647,22.14151,23.43192,21.20235,22.14151,19.91194,NA,NA,NA,NA,NA,1.25295316053996,2.22957,NA
"85","High","2017_H_01",55.67264,-133.378,9,18,0.9,17.6714586764426,1.2702,34.03141,24.78254,32.76121,23.51234,24.78254,22.63592,23.51234,21.36572,NA,NA,NA,NA,NA,1.33052627010037,2.14662,NA
"86","High","2017_H_01",55.67264,-133.378,10,20,0.9,17.6714586764426,1.27653,32.94226,23.98555,31.66573,22.70902,23.98555,21.63157,22.70902,20.35504,NA,NA,NA,NA,NA,1.28506765716363,2.35398,NA
"87","High","2017_H_01",55.67264,-133.378,11,22,0.9,17.6714586764426,1.28245,34.14386,25.66709,32.86141,24.38464,25.66709,23.45582,24.38464,22.17337,NA,NA,NA,NA,NA,1.37988835253915,2.21127,NA
"88","High","2017_H_01",55.67264,-133.378,12,24,0.9,17.6714586764426,1.28335,37.94031,29.94762,36.65696,28.66427,29.94762,28.03093,28.66427,26.74758,27.12313,55.67862,53.27965,28.55549,26.15652,1.62206587044292,1.91669,2.39897000000001
"89","High","2017_H_01",55.67264,-133.378,13,26,0.8,15.707963267949,1.28029,29.01294,21.68776,27.73265,20.40747,21.68776,19.71014,20.40747,18.42985,NA,NA,NA,NA,NA,1.29917989059982,1.97762,NA
"90","High","2017_H_01",55.67264,-133.378,14,28,0.9,17.6714586764426,1.29542,30.59581,22.18805,29.30039,20.89263,22.18805,20.41719,20.89263,19.12177,NA,NA,NA,NA,NA,1.18228100931201,1.77086,NA
"91","High","2017_H_01",55.67264,-133.378,15,30,0.9,17.6714586764426,1.29186,34.92765,25.98728,33.63579,24.69542,25.98728,23.7796,24.69542,22.48774,NA,NA,NA,NA,NA,1.39747490301527,2.20768,NA
"92","High","2017_H_01",55.67264,-133.378,16,32,0.9,17.6714586764426,1.29424,34.70211,27.2846,33.40787,25.99036,27.2846,25.26674,25.99036,23.9725,NA,NA,NA,NA,NA,1.47075351706235,2.01786,NA
"93","High","2017_H_01",55.67264,-133.378,17,34,1,19.6349540849362,1.27953,42.6356,34.927,41.35607,33.64747,34.927,32.70384,33.64747,31.42431,24.96815,58.22798,53.75194,33.25983,28.78379,1.7136515753716,2.22316,4.47604
"94","High","2017_H_01",55.67264,-133.378,18,36,0.7,13.7444678594553,1.29405,31.0239,26.36844,29.72985,25.07439,26.36844,24.42393,25.07439,23.12988,NA,NA,NA,NA,NA,1.82432599474925,1.94451,NA
"95","High","2017_H_01",55.67264,-133.378,19,38,1,19.6349540849362,1.28679,42.02636,36.05597,40.73957,34.76918,36.05597,34.28464,34.76918,32.99785,NA,NA,NA,NA,NA,1.7707797965606,1.77133,NA
"96","High","2017_H_01",55.67264,-133.378,20,40,1,19.6349540849362,1.28756,41.22818,35.66005,39.94062,34.37249,35.66005,33.74538,34.37249,32.45782,NA,NA,NA,NA,NA,1.75057654076056,1.91467,NA
"97","Low","2017_L_01",55.26366,-132.995,1,2,1.5,29.4524311274043,1.3127,55.38067,40.64282,54.06797,39.33012,40.64282,38.25293,39.33012,36.94023,NA,NA,NA,NA,NA,1.33537770888478,2.38989,NA
"98","Low","2017_L_01",55.26366,-132.995,2,4,1.3,25.5254403104171,1.29973,53.16598,40.05411,51.86625,38.75438,40.05411,37.59172,38.75438,36.29199,26.92544,65.1572,62.46189,38.23176,35.53645,1.51826489685211,2.46239,2.69531000000001
"99","Low","2017_L_01",55.26366,-132.995,3,6,1.3,25.5254403104171,1.30294,51.56751,39.31645,50.26457,38.01351,39.31645,35.13885,38.01351,33.83591,NA,NA,NA,NA,NA,1.48924012819032,4.17760000000001,NA
"100","Low","2017_L_01",55.26366,-132.995,4,8,1.2,23.5619449019235,1.26919,49.45623,37.56088,48.18704,36.29169,37.56088,35.23741,36.29169,33.96822,NA,NA,NA,NA,NA,1.54026716177565,2.32347,NA
"101","Low","2017_L_01",55.26366,-132.995,5,10,1.4,27.4889357189107,1.32715,52.81782,39.64214,51.49067,38.31499,39.64214,37.15544,38.31499,35.82829,NA,NA,NA,NA,NA,1.39383315497521,2.4867,NA
"102","Low","2017_L_01",55.26366,-132.995,6,12,1.3,25.5254403104171,1.28462,49.24359,36.40923,47.95897,35.12461,36.40923,33.68014,35.12461,32.39552,NA,NA,NA,NA,NA,1.37606284447385,2.72909,NA
"103","Low","2017_L_01",55.26366,-132.995,7,14,1.2,23.5619449019235,1.29831,45.87103,33.28286,44.57272,31.98455,33.28286,30.38641,31.98455,29.0881,26.70549,57.92757,54.80498,31.22208,28.09949,1.3574664626853,2.89645,3.12259
"104","Low","2017_L_01",55.26366,-132.995,8,16,1.3,25.5254403104171,1.29578,51.54713,38.59706,50.25135,37.30128,38.59706,36.04487,37.30128,34.74909,NA,NA,NA,NA,NA,1.46133737739196,2.55219,NA
"105","Low","2017_L_01",55.26366,-132.995,9,18,1.2,23.5619449019235,1.28319,47.84339,36.05944,46.5602,34.77625,36.05944,33.50217,34.77625,32.21898,NA,NA,NA,NA,NA,1.47594989058654,2.55727,NA
"106","Low","2017_L_01",55.26366,-132.995,10,20,1.3,25.5254403104171,1.28174,51.17329,39.0877,49.89155,37.80596,39.0877,36.40145,37.80596,35.11971,NA,NA,NA,NA,NA,1.48110902457464,2.68625,NA
"107","Low","2017_L_01",55.26366,-132.995,11,22,1.3,25.5254403104171,1.29089,51.10914,39.32175,49.81825,38.03086,39.32175,37.25215,38.03086,35.96126,NA,NA,NA,NA,NA,1.48991984222421,2.0696,NA
"108","Low","2017_L_01",55.26366,-132.995,12,24,1.4,27.4889357189107,1.29725,54.71964,41.81554,53.42239,40.51829,41.81554,38.97783,40.51829,37.68058,28.00084,67.75336,64.76268,39.75252,36.76184,1.47398540322992,2.83771,2.99068
