Calorimetry sample ID,Date run,lab ID,pellet number,species,collection site,pan weight,pan + pellet,pellet weight,gross heat (or GE) w/default,fuse correction,pan + ash,starting temp,acid corrrection,gross heat (or GE) w/ fuse and acid corrections,ash tin,tin + ash pre oven,post ashing oven,ashing loss?,grams ash,ash fraction,ash%DM,Ave ash%,ash sem,no of bombs,EE,Delta T,Calc GE cal/gDM,Ave GE cal/gDM,GE cal/g DM sem,no of bombs,GE per gram of organic matter,Ave GE cal/gOM,GE cal/g OM sem,no of bombs
40,10/28/11,116 C1,1,Halocynthia aurantium,Glacier Bay,12.2562,13.0959,0.8397,3200.3,16.8,12.4692,29.621,10.9,3197.09,,,12.4898,-0.0206,0.213,0.253662022,25.37,25.37,,1,2410.48,1.12521,3197.1,3197.1,,1,4283.7,4283.702251,,1
84,11/9/11,119-123 C1,1,Chlamys rubida,Glacier Bay,12.2367,12.9745,0.7378,4978.79,18.62,12.3059,29.202,22,4957.62,,,,,0.0692,0.093792356,9.38,9.53,0.152,2,2410.48,1.53428,4957.6,4949.6,7.98,2,5470.7,5471.124872,0.393112852,2
85,11/9/11,119-123 C2,1,Chlamys rubida,Glacier Bay,12.1417,12.9647,0.823,4951.91,9.94,12.2214,29.6051,23.5,4941.66,,,,,0.0797,0.096840826,9.68,,,,2410.48,1.70108,4941.7,,,,5471.5,,,
11,10/19/11,125 test 1,3,Cucumaria frondosa,Glacier Bay,12.262,13.534,1.272,5048.44,12.32,12.4438,29.4217,33.3,5032.23,,,12.446,-0.0022,0.1818,0.142924528,14.29,14.98,0.533,9,2410.48,2.67461,5032.6,5002.3,9.99,9,5871.8,5886.318484,46.56740792,9
12,10/19/11,125 test 1,2,Cucumaria frondosa,Glacier Bay,12.3213,13.5721,1.2508,4986.84,19.46,12.4962,29.5299,30.2,4967.13,,,12.5051,-0.0089,0.1749,0.139830508,13.98,,,,2410.48,2.59824,4967.5,,,,5775.0,,,
13,10/19/11,125 test 2,6,Cucumaria frondosa,Glacier Bay,12.2248,13.2016,0.9768,4983.3,17.78,12.3643,29.4823,24.7,4965.41,,,12.3672,-0.0029,0.1395,0.142813268,14.28,,,,2410.48,2.02991,4965.8,,,,5793.1,,,
14,10/19/11,125 test 2,7,Cucumaria frondosa,Glacier Bay,12.304,13.3722,1.0682,4992.55,9.94,12.4546,29.3045,26.9,4981.48,,,12.4697,-0.0151,0.1506,0.140984834,14.10,,,,2410.48,2.22298,4981.8,,,,5799.5,,,
15,10/19/11,125 test 3,10,Cucumaria frondosa,Glacier Bay,12.2146,12.8196,0.605,5029.15,10.5,12.3092,29.2573,16,5026.68,,,12.3244,-0.0152,0.0946,0.156363636,15.64,,,,2410.48,1.27272,5027.1,,,,5958.8,,,
16,10/19/11,125 test 3,11,Cucumaria frondosa,Glacier Bay,12.2347,12.8457,0.611,4996.18,18.76,12.3232,29.0577,14.8,4982.17,,,12.332,-0.0088,0.0885,0.144844517,14.48,,,,2410.48,1.27688,4982.5,,,,5826.5,,,
17,10/20/11,125 test 3,9,Cucumaria frondosa,Glacier Bay,12.3006,12.8522,0.5516,5037.59,12.04,12.3883,29.3952,13.9,5035.89,,,12.41,-0.0217,0.0877,0.158992023,15.90,,,,2410.48,1.16323,5036.3,,,,5988.4,,,
18,10/20/11,125 test 3,14,Cucumaria frondosa,Glacier Bay,12.3412,12.6329,0.2917,4978.33,15.54,12.3805,29.6912,5.4,4992.24,,,12.3542,0.0263,0.0393,0.13472746,13.47,,,,2410.48,0.61286,4992.6,,,,5770.0,,,
19,10/20/11,125 test 3,13,Cucumaria frondosa,Glacier Bay,12.2632,12.5924,0.3292,5021.06,14,12.3248,29.778,6.6,5034.42,,,12.3304,-0.0056,0.0616,0.187120292,18.71,,,,2410.48,0.69615,5034.8,,,,6193.8,,,
86,11/9/11,133-136 C1,1,Katharina tunicata,BC,12.3882,13.286,0.8978,4646.81,23.24,12.476,29.3871,22.1,4624.16,,,,,0.0878,0.097794609,9.78,10.23,0.454,2,2410.48,1.74111,4624.2,4621.3,2.83,2,5125.4,5148.282117,22.88602747,2
87,11/9/11,133-136 C2,1,Katharina tunicata,BC,12.2112,13.0215,0.8103,4636.4,18.2,12.2978,29.5697,21.3,4618.51,,,,,0.0866,0.106873997,10.69,,,,2410.48,1.56893,4618.5,,,,5171.2,,,
88,11/9/11,137 C1,1,Ophiopholis kennerlyi,Glacier Bay,12.2189,13.272,1.0531,1003.67,18.62,12.9908,29.7257,0.7,1009.06,,,12.8376,0.1532,0.7719,0.732978824,73.30,73.46,0.170,4,2410.48,0.44886,1009.1,1036.9,14.02,4,3779.0,3906.748891,49.25780642,4
95,11/10/11,137 C2,1,Ophiopholis kennerlyi,Glacier Bay,12.2346,13.2298,0.9952,1052.91,18.2,12.9622,29.2754,0.7,1059.04,,,,,0.7276,0.731109325,73.11,,,,2410.48,0.44508,1059.0,,,,3938.6,,,
89,11/9/11,137 C3,1,Ophiopholis kennerlyi,Glacier Bay,12.2483,13.4328,1.1845,1059.69,20.72,13.1192,29.485,0.5,1062.88,,,,,0.8709,0.73524694,73.52,,,,2410.48,0.5311,1062.9,,,,4014.6,,,
97,11/10/11,137 C4,1,Ophiopholis kennerlyi,Glacier Bay,12.2716,13.2901,1.0185,1011.02,19.18,13.0243,19.3468,0.3,1016.44,,,,,0.7527,0.739027982,73.90,,,,2410.48,0.43756,1016.4,,,,3894.8,,,
20,10/21/11,138 test 1,16,Musculus sp.,PWS,12.4161,13.4664,1.0503,1423.18,16.52,13.0678,29.4375,1,1430.3,1.0951,1.7289,1.6452,0.0837,0.6517,0.620489384,62.05,61.38,1.335,4,2410.48,0.63053,1430.4,1448.2,48.14,4,3769.1,3751.53305,54.74886929,4
21,10/21/11,138 test 1,19,Musculus sp.,PWS,12.2623,13.2278,0.9655,1518.09,21.42,12.8506,29.6251,1.4,1520.35,1.0789,1.654,1.493,0.161,0.5883,0.609321595,60.93,,,,2410.48,0.61848,1520.5,,,,3891.9,,,
25,10/21/11,138 test 1,17,Musculus sp.,PWS,12.4164,12.856,0.4396,1507.53,17.5,12.6716,29.5106,0.7,1522.99,,,12.6009,0.0707,0.2552,0.580527753,58.05,,,,2410.48,0.2853,1523.0,,,,3630.7,,,
26,10/24/11,138 test 1,15,Musculus sp.,PWS,12.313,13.1133,0.8003,1304.21,12.32,12.8291,29.2885,0.8,1319.05,1.1114,1.6227,1.484,0.1387,0.5161,0.644883169,64.49,,,,2410.48,0.44338,1319.1,,,,3714.4,,,
27,10/24/11,141 test 1,27,Saxidomus gigantea,BC,12.2814,13.3461,1.0647,4035.87,16.52,12.4433,29.4226,30.9,4014.82,1.0866,1.2293,1.2286,0.0007,0.1619,0.152061614,15.21,15.71,0.508,2,2410.48,1.793,4014.8,4007.1,7.72,2,4734.8,4754.2811,19.48863227,2
28,10/24/11,141 test 1,28,Saxidomus gigantea,BC,12.2505,13.3077,1.0572,4020.38,16.52,12.422,29.8207,30.7,3999.37,1.0812,1.2312,1.2302,0.001,0.1715,0.162220961,16.22,,,,2410.48,1.77365,3999.4,,,,4773.8,,,
29,10/24/11,142 test 1,30,Strongylocentrotus franciscanus,BC,12.3133,12.8681,0.5548,2672.73,18.48,12.5438,29.5209,7.3,2671.32,1.0611,1.2779,1.2761,0.0018,0.2305,0.415465032,41.55,41.37,0.180,3,2410.48,0.62553,2671.3,2679.1,4.44,3,4570.0,4569.190258,8.444794475,3
30,10/24/11,142 test 1,31,Strongylocentrotus franciscanus,BC,12.2623,12.7593,0.497,2686.49,18.9,12.4661,29.5762,6,2686.69,1.0786,1.2711,1.2694,0.0017,0.2038,0.410060362,41.01,,,,2410.48,0.56428,2686.7,,,,4554.2,,,
31,10/24/11,142 test 1,32,Strongylocentrotus franciscanus,BC,12.2519,12.7032,0.4513,2681.06,20.86,12.4394,29.703,5,2679.15,1.0788,1.2588,1.2581,0.0007,0.1875,0.41546643,41.55,,,,2410.48,0.51233,2679.2,,,,4583.4,,,
22,10/21/11,146 test 1,21,Cancer Productus,BC,12.2508,13.23,0.9792,2550.18,14,12.5967,29.7011,3.7,2557.63,1.0507,1.3748,1.3346,0.0402,0.3459,0.353247549,35.32,36.81,1.428,3,2410.48,1.0464,2557.8,2507.9,29.12,3,3954.9,3972.76144,102.1616028,3
23,10/21/11,146 test 1,22,Cancer Productus,BC,12.2815,12.5664,0.2849,2453.01,8.26,12.3945,29.6793,0.9,2508.6,1.0753,1.1706,1.1602,0.0104,0.113,0.396630397,39.66,,,,2410.48,0.30032,2508.8,,,,4158.0,,,
24,10/21/11,146 test 1,25,Cancer Productus,BC,12.3131,13.3279,1.0148,2455.35,19.46,12.6727,29.599,4.1,2456.77,1.0738,1.4205,1.379,0.0415,0.3596,0.354355538,35.44,,,,2410.48,1.04414,2457.0,,,,3805.4,,,
32,10/24/11,147 test 1,34,Crassodoma gigantea,BC,12.3124,12.9718,0.6594,4638.72,22.4,12.3781,29.5999,19.1,4613.71,,,12.4157,-0.0376,0.0657,0.099636033,9.96,10.14,0.386,3,2410.48,1.27932,4613.7,4619.6,4.95,3,5124.3,5141.253693,19.06810598,3
33,10/24/11,147 test 1,35,Crassodoma gigantea,BC,12.2504,12.696,0.4456,4623.94,15.82,12.2989,29.7302,12.9,4615.59,,,12.3134,-0.0145,0.0485,0.108842011,10.88,,,,2410.48,0.86515,4615.6,,,,5179.3,,,
34,10/25/11,147 test 1,36,Crassodoma gigantea,BC,12.2632,13.4244,1.1612,4654.99,20.3,12.3745,29.251,34.4,4629.42,,,12.4235,-0.049,0.1113,0.095849122,9.58,,,,2410.48,2.25282,4629.4,,,,5120.2,,,
103,11/18/11,151 C1,1,Nephtys sp.,BC,12.2117,12.8203,0.6086,3624.94,16.1,12.3607,30.1059,11.3,3621,,,,,0.149,0.244824187,24.48,23.80,0.686,2,2410.48,0.9256,3621.0,3702.3,81.33,2,4794.9,4857.924783,63.01554063,2
