site,transect_location,species_common,death_estimate,width_mm
Dunbar Inlet,Edge,Steamer clam,Whole,46
Dunbar Inlet,Edge,Steamer clam,Whole,43
Dunbar Inlet,Edge,Steamer clam,Whole,49
Dunbar Inlet,Edge,Steamer clam,Whole,37
Dunbar Inlet,Edge,Steamer clam,Whole,48
Dunbar Inlet,Edge,Steamer clam,Whole,41
Dunbar Inlet,Edge,Steamer clam,Whole,40
Dunbar Inlet,Edge,Steamer clam,Whole,45
Dunbar Inlet,Edge,Steamer clam,Whole,46
Dunbar Inlet,Edge,Steamer clam,Whole,47
Dunbar Inlet,Edge,Steamer clam,Whole,47
Dunbar Inlet,Edge,Steamer clam,Whole,50
Dunbar Inlet,Edge,Steamer clam,Whole,43
Dunbar Inlet,Edge,Steamer clam,Whole,50
Dunbar Inlet,Edge,Steamer clam,Whole,48
Dunbar Inlet,Edge,Steamer clam,Whole,45
Dunbar Inlet,Edge,Steamer clam,Whole,40
Dunbar Inlet,Edge,Steamer clam,Whole,46
Dunbar Inlet,Edge,Steamer clam,Whole,41
Dunbar Inlet,Edge,Steamer clam,Whole,44
Dunbar Inlet,Inside,Bentnose macoma,Crab,49
Dunbar Inlet,Inside,Bentnose macoma,Whole,50
Dunbar Inlet,Inside,Bentnose macoma,Whole,35
Dunbar Inlet,Inside,Bentnose macoma,Whole,46
Dunbar Inlet,Inside,Bentnose macoma,Whole,37
Dunbar Inlet,Inside,Butter clam,Crab,51
Dunbar Inlet,Inside,Butter clam,Whole,72
Dunbar Inlet,Inside,Butter clam,Whole,73
Dunbar Inlet,Inside,Cockle,Sea Otter,65
Dunbar Inlet,Inside,Cockle,Whole,61
Dunbar Inlet,Inside,Cockle,Whole,46
Dunbar Inlet,Inside,Cockle,Whole,57
Dunbar Inlet,Inside,Cockle,Whole,47
Dunbar Inlet,Inside,Cockle,Whole,60
Dunbar Inlet,Inside,Cockle,Whole,50
Dunbar Inlet,Inside,Cockle,Whole,40
Dunbar Inlet,Inside,Cockle,Whole,64
Dunbar Inlet,Inside,Cockle,Whole,34
Dunbar Inlet,Inside,Cockle,Whole,49
Dunbar Inlet,Inside,Cockle,Whole,52
Dunbar Inlet,Inside,Cockle,Whole,39
Dunbar Inlet,Inside,Steamer clam,Crab,49
Dunbar Inlet,Inside,Steamer clam,Crab,37
Dunbar Inlet,Inside,Steamer clam,Whole,64
Dunbar Inlet,Inside,Steamer clam,Whole,46
Dunbar Inlet,Inside,Steamer clam,Whole,53
Dunbar Inlet,Outside,Butter clam,Sea Otter,47
Dunbar Inlet,Outside,Butter clam,Crab,41
Dunbar Inlet,Outside,Butter clam,Crab,53
Dunbar Inlet,Outside,Butter clam,Crab,49
Dunbar Inlet,Outside,Butter clam,Whole,54
Dunbar Inlet,Outside,Butter clam,Whole,59
Dunbar Inlet,Outside,Butter clam,Whole,28
Dunbar Inlet,Outside,Butter clam,Whole,37
Dunbar Inlet,Outside,Butter clam,Whole,49
Dunbar Inlet,Outside,Butter clam,Whole,18
Dunbar Inlet,Outside,Cockle,Sea Otter,40
Dunbar Inlet,Outside,Cockle,Sea Otter,53
Dunbar Inlet,Outside,Cockle,Crab,61
Dunbar Inlet,Outside,Cockle,Whole,30
Dunbar Inlet,Outside,Cockle,Whole,56
Dunbar Inlet,Outside,Cockle,Whole,45
Dunbar Inlet,Outside,Cockle,Whole,41
Dunbar Inlet,Outside,Cockle,Whole,31
Dunbar Inlet,Outside,Cockle,Whole,35
Dunbar Inlet,Outside,Cockle,Whole,20
Dunbar Inlet,Outside,Softshell clam,Sea Otter,103
Dunbar Inlet,Outside,Softshell clam,Sea Otter,98
Dunbar Inlet,Outside,Softshell clam,Sea Otter,80
Dunbar Inlet,Outside,Softshell clam,Sea Otter,80
Dunbar Inlet,Outside,Steamer clam,Crab,50
Dunbar Inlet,Outside,Steamer clam,Crab,35
Dunbar Inlet,Outside,Steamer clam,Crab,50
Dunbar Inlet,Outside,Steamer clam,Crab,51
Dunbar Inlet,Outside,Steamer clam,Whole,51
Dunbar Inlet,Outside,Steamer clam,Whole,43
Dunbar Inlet,Outside,Steamer clam,Whole,18
Dunbar Inlet,Outside,Steamer clam,Whole,48
Dunbar Inlet,Outside,Steamer clam,Whole,50
Dunbar Inlet,Outside,Steamer clam,Whole,43
Dunbar Inlet,Outside,Steamer clam,Whole,42
Dunbar Inlet,Outside,Steamer clam,Whole,46
Dunbar Inlet,Outside,Steamer clam,Whole,32
Dunbar Inlet,Outside,Steamer clam,Whole,42
Dunbar Inlet,Outside,Steamer clam,Whole,30
Dunbar Inlet,Outside,Steamer clam,Whole,50
Dunbar Inlet,Outside,Steamer clam,Whole,41
Dunbar Inlet,Outside,Steamer clam,Whole,45
Dunbar Inlet,Outside,Steamer clam,Whole,44
Dunbar Inlet,Outside,Steamer clam,Whole,35
Dunbar Inlet,Outside,Steamer clam,Whole,51
Dunbar Inlet,Outside,Steamer clam,Whole,49
Dunbar Inlet,Outside,Steamer clam,Whole,30
Dunbar Inlet,Outside,Steamer clam,Whole,39
Dunbar Inlet,Outside,Steamer clam,Whole,40
Dunbar Inlet,Outside,Steamer clam,Whole,55
Dunbar Inlet,Outside,Steamer clam,Whole,34
Dunbar Inlet,Outside,Steamer clam,Whole,36
Dunbar Inlet,Outside,Steamer clam,Whole,43
Dunbar Inlet,Outside,Steamer clam,Whole,55
Dunbar Inlet,Outside,Steamer clam,Whole,42
Dunbar Inlet,Outside,Steamer clam,Whole,49
Dunbar Inlet,Outside,Steamer clam,Whole,38
Dunbar Inlet,Outside,Steamer clam,Whole,44
Garcia Cove,Edge,Butter clam,Sea Otter,54
Garcia Cove,Edge,Butter clam,Sea Otter,54
Garcia Cove,Edge,Butter clam,Sea Otter,54
Garcia Cove,Edge,Butter clam,Sea Otter,61
Garcia Cove,Edge,Butter clam,Sea Otter,51
Garcia Cove,Edge,Butter clam,Sea Otter,56
Garcia Cove,Edge,Butter clam,Sea Otter,45
Garcia Cove,Edge,Butter clam,Sea Otter,53
Garcia Cove,Edge,Butter clam,Sea Otter,61
Garcia Cove,Edge,Butter clam,Whole,78
Garcia Cove,Edge,Butter clam,Whole,55
Garcia Cove,Edge,Butter clam,Whole,69
Garcia Cove,Edge,Butter clam,Whole,85
Garcia Cove,Edge,Butter clam,Whole,80
Garcia Cove,Edge,Cockle,Whole,41
Garcia Cove,Edge,Cockle,Whole,35
Garcia Cove,Edge,Pointed macoma,Sea Otter,35
Garcia Cove,Edge,Softshell clam,Whole,65
Garcia Cove,Edge,Steamer clam,Sea Otter,44
Garcia Cove,Edge,Steamer clam,Sea Otter,42
Garcia Cove,Edge,Steamer clam,Sea Otter,37
Garcia Cove,Edge,Steamer clam,Sea Otter,44
Garcia Cove,Edge,Steamer clam,Sea Otter,35
Garcia Cove,Edge,Steamer clam,Sea Otter,42
Garcia Cove,Edge,Steamer clam,Sea Otter,51
Garcia Cove,Edge,Steamer clam,Sea Otter,50
Garcia Cove,Edge,Steamer clam,Sea Otter,46
Garcia Cove,Edge,Steamer clam,Sea Otter,32
Garcia Cove,Edge,Steamer clam,Sea Otter,34
Garcia Cove,Edge,Steamer clam,Sea Otter,49
Garcia Cove,Edge,Steamer clam,Whole,38
Garcia Cove,Edge,Steamer clam,Whole,36
Garcia Cove,Edge,Steamer clam,Whole,31
Garcia Cove,Edge,Steamer clam,Whole,43
Garcia Cove,Edge,Steamer clam,Whole,40
