site_name,site_code,latitude_N,longitude_E,so_region,year,date_mm.dd.yyyy,date_yyyy.mm.dd,trans_loc,bin_no,bin_area_m2,pit_count_bin,sed1_type,sed2_type,sed1_no,sed2_no,field_collector,notes
Naukati Bay a,H_05_a,55.862405,-133.190722,High,2017,7/24/2013,20170725,Edge,8,20,0,Sandy mud,Sandy mud,2,2,"Wendel Raymond, Cathy Mattson, Tiff Stephens",
Naukati Bay a,H_05_a,55.862405,-133.190722,High,2017,7/24/2013,20170725,Edge,9,20,0,Sandy mud,Mud,2,1,"Wendel Raymond, Cathy Mattson, Tiff Stephens",
Naukati Bay a,H_05_a,55.862405,-133.190722,High,2017,7/24/2013,20170725,Edge,10,20,0,Sandy mud,Mud,2,1,"Wendel Raymond, Cathy Mattson, Tiff Stephens",
Naukati Bay a,H_05_a,55.862405,-133.190722,High,2017,7/24/2013,20170725,Inside,1,20,0,Mud,Mud,1,1,"Wendel Raymond, Cathy Mattson, Tiff Stephens",
Naukati Bay a,H_05_a,55.862405,-133.190722,High,2017,7/24/2013,20170725,Inside,2,20,0,Mud,Mud,1,1,"Wendel Raymond, Cathy Mattson, Tiff Stephens",
Naukati Bay a,H_05_a,55.862405,-133.190722,High,2017,7/24/2013,20170725,Inside,3,20,0,Mud,Mud,1,1,"Wendel Raymond, Cathy Mattson, Tiff Stephens",
Naukati Bay a,H_05_a,55.862405,-133.190722,High,2017,7/24/2013,20170725,Inside,4,20,0,Mud,Mud,1,1,"Wendel Raymond, Cathy Mattson, Tiff Stephens",
Naukati Bay a,H_05_a,55.862405,-133.190722,High,2017,7/24/2013,20170725,Inside,5,20,0,Mud,Mud,1,1,"Wendel Raymond, Cathy Mattson, Tiff Stephens",
Naukati Bay a,H_05_a,55.862405,-133.190722,High,2017,7/24/2013,20170725,Inside,6,20,0,Mud,Mud,1,1,"Wendel Raymond, Cathy Mattson, Tiff Stephens",
Naukati Bay a,H_05_a,55.862405,-133.190722,High,2017,7/24/2013,20170725,Inside,7,20,0,Mud,Mud,1,1,"Wendel Raymond, Cathy Mattson, Tiff Stephens",
Naukati Bay a,H_05_a,55.862405,-133.190722,High,2017,7/24/2013,20170725,Inside,8,20,1,Mud,Mud,1,1,"Wendel Raymond, Cathy Mattson, Tiff Stephens",
Naukati Bay a,H_05_a,55.862405,-133.190722,High,2017,7/24/2013,20170725,Inside,9,20,0,Mud,Mud,1,1,"Wendel Raymond, Cathy Mattson, Tiff Stephens",
Naukati Bay a,H_05_a,55.862405,-133.190722,High,2017,7/24/2013,20170725,Inside,10,20,0,Mud,Mud,1,1,"Wendel Raymond, Cathy Mattson, Tiff Stephens",
Naukati Bay a,H_05_a,55.862405,-133.190722,High,2017,7/24/2013,20170725,Outside,1,20,3,Sand,Gravel,4,7,"Wendel Raymond, Cathy Mattson, Tiff Stephens",
Naukati Bay a,H_05_a,55.862405,-133.190722,High,2017,7/24/2013,20170725,Outside,2,20,6,Sand,Gravel,4,7,"Wendel Raymond, Cathy Mattson, Tiff Stephens",
Naukati Bay a,H_05_a,55.862405,-133.190722,High,2017,7/24/2013,20170725,Outside,3,20,7,Sand,Gravel,4,7,"Wendel Raymond, Cathy Mattson, Tiff Stephens",
Naukati Bay a,H_05_a,55.862405,-133.190722,High,2017,7/24/2013,20170725,Outside,4,20,7,Sand,Gravel,4,7,"Wendel Raymond, Cathy Mattson, Tiff Stephens",
Naukati Bay a,H_05_a,55.862405,-133.190722,High,2017,7/24/2013,20170725,Outside,5,20,6,Coarse Sand,Gravel,5,7,"Wendel Raymond, Cathy Mattson, Tiff Stephens",
Naukati Bay a,H_05_a,55.862405,-133.190722,High,2017,7/24/2013,20170725,Outside,6,20,5,Coarse Sand,Gravel,5,7,"Wendel Raymond, Cathy Mattson, Tiff Stephens",
Naukati Bay a,H_05_a,55.862405,-133.190722,High,2017,7/24/2013,20170725,Outside,7,20,3,Coarse Sand,Gravel,5,7,"Wendel Raymond, Cathy Mattson, Tiff Stephens",
Naukati Bay a,H_05_a,55.862405,-133.190722,High,2017,7/24/2013,20170725,Outside,8,20,14,Coarse Sand,Gravel,5,7,"Wendel Raymond, Cathy Mattson, Tiff Stephens",
Naukati Bay a,H_05_a,55.862405,-133.190722,High,2017,7/24/2013,20170725,Outside,9,20,25,Coarse Sand,Gravel,5,7,"Wendel Raymond, Cathy Mattson, Tiff Stephens",
Naukati Bay a,H_05_a,55.862405,-133.190722,High,2017,7/24/2013,20170725,Outside,10,20,5,Gravel,Sand,7,4,"Wendel Raymond, Cathy Mattson, Tiff Stephens",
Guktu Cove a,H_06_a,55.739816,-133.31202,High,2017,7/23/2013,20170724,Edge,1,20,15,Muddy Sand,Pebble,3,6,"Tiff Stephens, Wendel Raymond, Cathy Mattson",
Guktu Cove a,H_06_a,55.739816,-133.31202,High,2017,7/23/2013,20170724,Edge,2,20,8,Sandy mud,Sand,2,4,"Tiff Stephens, Wendel Raymond, Cathy Mattson",
Guktu Cove a,H_06_a,55.739816,-133.31202,High,2017,7/23/2013,20170724,Edge,3,20,7,Sandy mud,Sand,2,4,"Tiff Stephens, Wendel Raymond, Cathy Mattson",
